,raw,output,predict
177774,"masjid al hida, gantung",1,1
224462,"angg rosl, h 86 pijat refl & keluarga black and white,",3,3
255020,"foto copy bima besi jang, ngemplak",3,3
140852,lem 1 sukaresmi cikarang selatan,2,2
6484,bantan timur pukat i 23 medan tembung,2,2
97191,merd barat 412 pontianak kota,2,2
218796,"tambun service all smarthone raya kp utan setu, no 32 17511",3,3
146934,cinta damai kena 20 20126 medan helvetia,2,2
183990,sem waru elok timur ii semolowaru sukolilo,2,2
150347,"padema ii, gg. 29 26 rt 15 2 pademangan timur pademangan",2,2
291295,"dusun bakalan, rt 07, rw 02",1,1
175531,"ruko pasar jati no 13 tk laris jaya, sangiang jaya",3,3
80284,jaya imperial park(imperial terrace) blok h no 39,1,1
64297,kubu marapalam marap indah viii 12 padang timur,2,2
221587,"cace motor karap, no 20a paledang",2,3
145984,rahayu jaya no.245,1,3
266813,"sempu indah, cipayung cipayung",2,2
53725,"komplek bca, jl. cut nyak dien nomor 23a",3,3
171137,"jl. teru dr. surya suma, no 2 sarijadi sukasari",2,2
212764,jahri saleh 43 sungai jingah banjarmasin utara,2,2
30683,"tb mekar jaya, mawar iv kali baru",3,3
204086,"manik shop cemara, no 100",3,3
78594,sib 60 huta namora silaen,2,2
162787,apartemen green bay pluit tower a19 bc. jl pluit karang ayu barat no b1 rt,3,3
212279,waringin jaya gg. kamal boj 13 bojonggede,2,2
33141,perumahan wahana cikarang blok f1 no 12 sukadami,1,1
13870,"enj cake dan bak, lebak wangi, negla sari",3,3
205831,puri sela i c no 17 kedungwuni timur kel. kedungwuni,2,2
285806,ngoro jomb 73 cukir diwek,0,2
13820,jend urip sumoh 9 8 wonosari ngaliyan,2,2
198918,kal 30 jatibening pondok gede,2,2
165989,"ir soek, pasar pandan air mati tanjung harapan",2,3
81377,peneleh gg. i no 5-a 5 genteng,2,2
149867,jl. sumur bor no. 35 rt05 rw12 (pas sebrang pertigaan jl. nirmala raya) cengkareng barat,3,2
192119,"rusun cipinang besar selatan blok b no. 501, lantai 5, rt. 16, rw. 005.",1,1
180210,medo asri utara vii 36 medokan ayu 8 rungkut,0,2
147051,cikarang kota re. mar 28,2,2
127638,ari garage motor bergas kidul bergas,1,3
291867,pavi no 6 mekarmukti cikarang utara,2,2
178582,jl batu kinyang 4 rt002 004 no 81 depan rptra muara condet,3,3
127544,"chrom store, haji fachr, rw 6 kampung bali",0,3
235717,mekarsari tent pela 322 46321 banjar,0,2
171723,"mas jami' nurul huda iman bukh desa gal,",3,1
161574,the savia blok g3.no 6 jl.ambon nusa loka bsd,3,3
75409,"elza,",0,2
90035,pasawahan war peut no 4 44191 tarogong kaler,2,3
42840,bencongan summarecon mall serp 2 area down gro floor gad serp boule pakul bar kelapa dua,3,3
8581,"lembuak nurmah, ahmad yani narmada",3,3
13664,ragunan a no 32 12540 pasar minggu,2,2
247464,rs sumber waras lantai 6 no kamar 6205-3,1,1
96424,dip ukur 80 - 84 lebakgede coblong,2,2
194898,"mel 2, no 160 toko baru pringsewu timur pringsewu",0,3
283532,cibo ii 31 pangkalan jati rt 3 5 cinere,2,2
69531,indomaret kamboja seberang taman kamboja,1,1
237884,bukit nyampai mand mandalaherang cimalaka,2,2
261893,haji mamad 51 bojong pondok terong rt 3 rw 6 cipayung,2,2
150376,"peguyangan kangin gg. asri, 1 x denpasar utara",2,2
182443,"yayasan cah madani nusan, mekar tani",1,2
224406,jatinegara jl. dr. krt radj widy jl. swad 09c rt 1 13 13930,2,3
171332,"kalib, 5 kalibagor kalibagor",2,2
140442,"dusun ngandong rt01 rw06,sebelum stasiun goprak (rumah bapak kadus ngandong)",1,1
154939,meru no 6 pancoran mas,2,2
131259,"masjid, trans pal",3,3
162293,"griya kebr sela v, no e 21 omah kampung cafe dan resto, rw 12 kebraon karangpilang",3,3
292709,"kau, ibu hj djoko, tanjung karang barat",3,3
264845,"salon ken atang sanj,",3,3
166131,perum gun putri per 5 rt 3 10 gunung putri gunung putri,2,2
132328,"taman mpu sen, no 53 3 selong kel. kebayoran baru",2,2
208063,"bkr, 118 new jas balt pt, cigereleng",3,3
48322,jalan aka 2,2,2
16624,pecel lele daffa ase cipedak,0,2
4734,"5000 6000 tanjung datuk, lima puluh",0,2
189590,bak sari 05 kuta kuta,2,2
101739,perum darmasaba per pabrik roti srijaya,3,2
111000,sendangadi kebon agung no 514 mlati,2,2
198444,"pahandut ahm yani, 14 74874 pahandut",0,2
16638,inves lengkong gudang timur,0,2
55638,pen d3 6 4 tidung rappocini,2,2
258788,soek hatta 17 jatimulyo lowokwaru,2,2
238820,mak,2,1
115603,tamb i 1a tambora rt 3 8 tambora,2,2
246939,"toko wifaq collec,",1,3
191530,"plimsolls laun, sawai, kampung melayu",3,3
11213,"optus cellular ki hajar dewan, suka raya karangbahagia",3,3
27388,kebonsari letj supr xviii no 35 sumber sari,2,2
229061,"all mac, ruko rungkut megah raya,",3,3
251977,kp bekasi kidul no 75 rt 001 rw 003 margahayu bekasi timur,1,1
23366,warung makan dan angkri mbak ilah ngaglik,1,3
10057,gg. angg 55 gadingrejo,0,2
112593,"mutu agung lest pt, bung tomo samarinda seberang",0,3
268565,raya cilangkap no 75c rw 3 cilangkap kel.,2,2
157455,"terminal benowo,surabaya,jawa timur",1,1
59187,deles war bu muji manisrenggo,3,1
70372,jl. urip sumoharjo no. 246 gedung aliah lantai 2,3,3
126007,"gulai kamb, may sut s",0,3
197380,arbes ujung 37 pangkalan kerinci,2,2
271738,jl.purwosari pasir putih perumahan pcc asri blok d no 8,3,3
194635,"jl. amurang-r, mas tanamon,",3,2
165242,manurunge kalima 5 92712 tanete riattang barat,2,2
47838,"stasiun lahat, ps. baru, kec. lahat, kabupaten lahat, plm 31419 bagian upt crew ka",1,1
29771,"jln banda no.38 focus nusantara dalam gedung jonas photo bandung wetan, bandung",3,3
257199,"mim motor kepahyang- tabam, merigi",0,3
61814,gg. jeruk ciracas,2,2
208348,"r & k fut, gang m akim, kapur",3,2
191265,jend bas rahm gg. 4 9 klojen,0,2
2157,"canggu cafe ii, raya pado, tibubeneng",2,3
188784,jatih jatiendah cilengkrang,2,2
95787,"pasar kertasemaya, kios a ii j pa ker tulungagung indramayu",3,3
238436,gg. alpo indah 5 2 sungai beliung pontianak barat,2,2
239163,teru kopo 330 margahayu selatan belak mang sayati margahayu,3,2
295072,pbm,1,2
104338,"sari harjo nit shoes & bag tent pela,",0,3
291607,"bro ii e, 35 rt 3 rw 10 pacar kembang tambaksari",2,2
21708,"antar jasa. cv, arj, 5",2,3
143149,"luxy vapor, benda raya, no 13 rw 2",3,2
137148,barak pt pp proyek pelabuhan patimban (subang) kel..patimban kec.pusaka nagara,1,1
78780,pale campaka kel. andir,2,2
92536,"warkop sri rejeki free wifi, pramuka,",3,3
271294,"seminari tin kaj yohanes paulus ii - wisma cemp, cemp putih timur, cempaka putih timur",3,2
79847,"sul agung, 132 68131 kaliwates",2,2
274306,jojo i 93 mojo rt 8 12,2,2
153714,pasar pisang palmerah jakarta barat,1,1
117114,muara baru no 2 rt 16 rw 17 penjaringan,2,2
295580,"manggarai mangg utara 4, 9-6 rt 5 1 tebet",2,2
153341,kali 90a kalisari rt 11 rw 2 pasar rebo,0,2
242231,"klojen rudy emanuel salon, jend bas rahmat, no 51 65112",3,3
17420,"jati, 11 sop iga sapi & soto bening jelupang serpong utara",3,3
52376,"kart wana, no d5 11 wanasari kel.",2,2
71440,"kar pari, no 3 lang muara makmur. pt",3,3
254000,"otto iskandar, no 32a zam zam medi center, rt 13 8",3,3
199108,"nyengseret eli busana, bp eni, no 59 40242",3,2
146464,kantor terminal cepu,1,1
154057,pamulang barat dr. set gg. muha no 32 rt 2 5 pamulang,2,2
276394,"ud.ibu bro, ponc, cokrodiningratan",0,3
106502,"wonoc no 12 kantor advo beni tri prasetyo, s.h. & rekan banguntapan",3,3
84374,gg. dpu 100 wage taman,2,2
253180,lumimp matani dua tomohon tengah,2,2
236365,andir 46 dungus cariang andir,2,2
182279,"san wamb, baruta sangia wambulu",2,3
221109,talang mandi damai 45,2,2
289706,"kenari cipta abadi toko, sale raya, no 2 rw 5 10430",0,3
291438,karawang kulon sur 08 03 karawang barat,2,2
71066,"armi travel  atta wis, palmerah barat ii, palmerah",3,2
122789,"cemp 6, 19 wanasari cibitung",0,2
194910,kopo 555 katapang,2,2
145391,"musholla al baro,",1,1
199164,pataruman pananjung i 125 46323 pataruman,2,2
266382,"inaq litahep, raya tanj,",3,3
271414,dupak dupak banda i no 11 3 60179 krembangan,2,2
167801,sido asih iii 30 muktiharjo kidul 4 pedurungan,2,2
61371,duri kepa gg. e 8 rt 6 8 kebon jeruk,2,2
228790,lag ii d1 2 lagoa rt 2 17 koja,2,2
290878,"ariyanti ponsel, mille town house, dwi kora medan helvetia",0,3
144980,"candi lont gg. iii, lontar sambikerep",2,2
119483,pinang hasim asy 20 rt 2 2 pinang (penang),2,2
18604,"muha rojali,",1,2
138393,sur kenc 6 27 cibatu cikarang selatan,0,2
83163,gd. graha matapel jln. arjuna utara no.46 duri kepa bagian personnel administration staff,3,3
77727,"sri gunt, margasari margasari",2,3
224928,pusat grosir tanah abang (pgmta) lantai lg blok a no 201 .tanah abang,1,1
28596,"lya muk bali gro,",0,3
157996,"graha puspa kara,",2,3
108954,"kaly, raya sukam, sukatani",3,2
200857,utama karya home solution jln. yos sudarso no. 2 depan lantamal viii kairagi weru,3,3
72173,pas senen dalam viii 13 rt 5 4 senen,0,2
106183,gg. istiq loa bakung sungai kunjang,2,2
12328,"zen rooms basic sawojajar, sawoj, bogor tengah - kota",3,2
264481,badan permusyawaratan desa karangsoka raya duk,3,3
96134,kp eurih rt 04 ds tambang ayam,1,1
129425,"toko plas 168 fx suh,",3,1
80441,pati bringin badas,2,2
260522,bojong menteng rt 003 rw 003 no132 kelurahan bojong menteng,1,1
72154,"fotocopy natasya , terminal simpang nangka",1,1
93234,"tinelo wale riki perumahan griya sult 1, c 1 96284",3,1
58502,"bunga mata xv, jatirahayu kel. pondok melati",2,2
277308,"pastori ger baptis indon ngadine, may d i panja,",3,3
151009,"madrasah diniyah al-hasanuddin, tanjung selamat padang tualang",1,1
90763,"ahmad teguh, sh h o s cokr 51136 pekalongan selatan",3,3
275585,gg. blim kema ds rt 3 9 ngadirejo,2,2
77424,"gg. sadar, sungai bangkong pontianak kota",2,2
50947,"sio rao cile, kap pie tendean",3,2
86003,cila iii no 27 rt 2 rw 3 cilandak,2,2
202926,"bantar jati fabe com, bangba raya, no 29 16153 bogor utara - kota",3,2
52894,bsd raya barat pagedangan pagedangan,2,2
152519,"war ksr, mayor elang suba, nagarasari",3,3
145898,"dewi. cv, 43216 cianjur",1,3
133627,"texas fried chic - mitra plaza pang anta, kelayan luar",3,3
113025,"jat kaum, 5 jatinegara kaum rt 2 rw 5 pulo gadung",2,2
216655,tlogosari kulon ble kan ii no 22 6 pedurungan,2,2
173878,"mas ar-ra, wonocoyo",1,2
73954,serua pin 995 16,2,2
257397,"biru laut vii, 14 cipinang cempedak rt 6 rw 11 jatinegara",2,2
103663,"kedoya selatan berkat ung prat pt, panj raya, no 76 1 kebon jeruk",0,3
281910,"sinar ter raya ampel dento, ampeldento",3,3
104079,"smpn 3 telagasari, syekh quro",3,2
83563,"bayu service komp, rawa 24 teluk dalam",3,3
28436,libra ploso tambaksari,2,2
206395,"toko lapis legit dan bolu, diponegoro, sokaraja",3,1
239720,dok muha isa 236a duku ilir timur ii,2,2
35659,"raya wig timur, 20 3 gunung anyar tambak gununganyar",2,2
267856,"pangkalan ojek bundaran 1, s. par,",3,2
25953,"chan griya deko, beran",1,1
108843,"griya must, n 14 pecel lele mbak ikke",3,3
50565,"tirta, sabai toko,",3,3
241574,"kelapa gading timur summa ii, no 37 rt 5 19 14240 kelapa gading",2,2
214651,"klam hara iv, 7 klampis ngasem rt 2 rw 8",0,2
14904,antapani tengah sub v 18-10 antapani (cicadas),2,2
142217,raya bromo wm mas bromo,3,2
53741,"pulo wonok no 98 bengkel las pulo jaya, rw 8 wonokromo",3,3
17917,drg feezy geg gir a 65,3,2
46527,pep raya semper barat cilincing,2,2
254258,gg. pete srengseng sawah jagakarsa,2,2
117732,perta 13 klender rt 12 2 duren sawit,2,2
84721,"mie ayam mawa, raya r. a. basuni,",3,3
283229,"nua kori, ubung kaja kel. denpasar utara",2,2
174501,jl. setia budi ujung no 14 tanjung sari medan selayang,2,2
122944,"wib mukti iv, 109 jatimekar rt 2 1 jatiasih",2,2
1934,rung hara 4-16 kali rungkut 2 rungkut,2,2
275793,"sampangan sul agung, no 181 pekalongan timur",2,2
123228,lesehan ayam bakar dapur mamah pramuka siman,3,3
24600,tlogomas tlog 2 a lowokwaru,2,2
230991,"gang barak 2, banjarmasin barat",0,2
56772,padat karya iii no 84 pondok kelapa rt 2 1 duren sawit,2,2
147503,mega lestari residence blok b2 no.20,0,1
85741,"ban, no 3 gedangsewu pare",0,2
69716,gang taman baca kenanga rt 001 rw 002 ds.jatibaru kec.cikarang timur kab.bekasi,1,1
264260,"rias penga resky, andi mal bass, somba opu (upu)",3,2
65737,"kent fit lin sum, telukbetung selatan",0,2
99254,galur sari timur utan kayu selatan matraman,2,2
223411,"pan vii, 44 kramat pela rt 2 rw 2 kebayoran baru",2,2
