entity,predict,output
POI,rizky busana,rizky busana
POI,brown coffee,brown coffee
POI,sepatu batatbk. pta,sepatu batatbk. pt
POI,rosmalaini,rosmalaini
POI,perum griya mukti,perum griya mukti
POI,toko anas,toko anas
POI,alan baby & kids,alan baby & kids
POI,mardhatillah muslim store,mardhatillah muslim store
POI,toko daging dan ikan laut,toko daging dan ikan laut
POI,plaza bri,plaza bri
POI,enako bakery,enako bakery
POI,kawasan industri candi,kawasan industri candi
POI,super toys,super toys
POI,bank negara indonesia,bank negara indonesia
POI,sego ceker glintung,sego ceker glintung
POI,share tea,share tea
POI,lenia,lenia
POI,star chicken,star chicken
POI,warung makan podo moro,warung makan podo moro
POI,exotic indonesia. cv,exotic indonesia. cv
POI,masjid baitul izza joglo,masjid baitul izza joglo
POI,excelcomindo pratama pt tbk,excelcomindo pratama pt tbk
POI,toko melati,toko melati
POI,makam,makam k.h. ahmad dahlan
POI,ma al manar tanjungtani prambon,ma al manar tanjungtani prambon
POI,kantor lurah asri,kantor lurah asri katon
POI,perumahan bandhar agung village 2,perumahan bandhar agung village 2
POI,dokter derry mangunjaya,dokter derry
POI,indah residence,jati indah residence
POI,rest area km.39,rest area km.39
POI,alif jaya moto,alif jaya moto
POI,kaka' gipsum,kaka' gipsum
POI,ozyfeet,ozyfeet
POI,wardani wood carver,wardani wood carver
POI,ujung harapan,ponpes attaqwa putra
POI,taman bungkul,taman bungkul
POI,toko barokah,toko barokah
POI,bu mairah,bu mairah
POI,elektronik service,elektronik service
POI,dokter monang sembiring,dokter monang sembiring
POI,toko besi jaya utama,toko besi jaya utama
POI,toko cakra,toko cakra
POI,warung sate,warung sate
POI,repairindo,repairindo
POI,warung pak de,warung pak de
POI,muara baru kel.,tamban muara baru kel.
POI,toko kenex,toko kenex
POI,jembatan ampera,jembatan ampera
POI,taman suropati,taman suropati
POI,bacheno,bacheno
POI,klinik gigi smile up-h,klinik gigi smile up-h
POI,smartpocket,smartpocket
POI,toko warno,toko warno
POI,asrie salon,asrie salon
POI,ayam bebek pak boss,ayam bebek pak boss
POI,toko jam james,toko jam james
POI,cluster royal london,cluster royal london
POI,blok a,blok a
POI,ruko picadilly,ruko picadilly
POI,wisma proklamasi,wisma proklamasi
POI,taman cluster alamanda jgc,taman cluster alamanda jgc
POI,event uinsa,event uinsa
POI,bayu mitra sakti,bayu mitra sakti
POI,supermarket citra jeruju,supermarket citra jeruju
POI,perumahan indah sejahtera 4,perumahan indah sejahtera 4
POI,cluster pesona ciledug,cluster pesona ciledug
POI,daar el khair,daar el khair
POI,toko es batu,toko es batu
POI,rumah susun,rumah susun
POI,corah kuwon bu amilah,corah kuwon bu amilah
POI,atnet mitra solusindo,atnet mitra solusindo
POI,mesjid sabilul qhair,pantai marumasa
POI,warmin filot,warmin filot
POI,casablanca mansion,casablanca mansion
POI,mr tacoz,mr tacoz
POI,salon sabrina,salon sabrina
POI,bali landuh,bali landuh
POI,hijab fashion anugrah,hijab fashion anugrah
POI,kebun tebu,kebun tebu
POI,terminal pulo gadung,terminal pulo gadung
POI,della motor,della motor
POI,dzigo art shop,dzigo art shop
POI,depot kk,depot kk
POI,bala putra dewa,depot kk
POI,pesona 4,pesona 4
POI,nerada estate,nerada estate
POI,persada mas,persada mas
POI,distributor resmi kangen muhammad hamim,distributor resmi kangen
POI,strada koja,strada koja
POI,sabrina cell,sabrina cell
POI,asi namura jaya. pt,asi namura jaya. pt
POI,agen pulsa & quota,agen pulsa & quota
POI,slb pembina,slb pembina
POI,tina cell,tina cell
POI,putra sahabat utama,putra sahabat utama
POI,rhoma,rhoma
POI,indah hotel,indah hotel
POI,wilayah ii,wilayah ii
POI,kios aditya,kios aditya
POI,tempe mendoan,tempe mendoan
POI,asiatama agromakmur pta,asiatama agromakmur pt
POI,gudeg jogja,gudeg jogja
POI,toko dunia buah,toko dunia buah
POI,kumpay berkah galendra steam,berkah galendra steam
POI,taman bungkul,taman bungkul
POI,mdw darul ulum,mdw darul ulum
POI,ud kayu mas,ud kayu mas
POI,bpsdm hukum dan ham,bpsdm hukum dan ham
POI,madu sari alam,madu sari alam jambi
POI,widy club,widy club
POI,cv daito indah,cv daito indah
POI,pt. putra airlangga medika,pt. putra airlangga medika
POI,kateguhan genjik,genjik pigura
POI,minimarket bu wati,minimarket bu wati
POI,klinik setda aceh,klinik setda aceh
POI,taman garuda,taman garuda
POI,rumah makan sederhana,rumah makan sederhana
POI,ria star indonesia. pt,ria star indonesia. pt
POI,ruko babatan pantai i,ruko babatan pantai
POI,perumahan alamanda dago permai,perumahan alamanda dago
POI,cahaya elektronik service,cahaya elektronik service
POI,talang pancur,talang pancur
POI,betty salon,betty salon
POI,optik kacamata wijaya kusuma,optik kacamata
POI,gedung ratu,gedung ratu
POI,the big family pulo,the big family pulo
POI,terminal limbangan,terminal limbangan
POI,samil_pubg_mobal,samil_pubg_mobal
POI,erfina kencana regency,erfina kencana regency
POI,rumah jus & sop buah,rumah jus & sop buah
POI,bri kanca negara,bri kanca negara
POI,percetakan maharani,percetakan maharani
POI,komplek perhubungan darat,komplek perhubungan darat
POI,bakso popey,bakso popey
POI,lbc,lbc
POI,ucik,ucik
POI,shane com - ho,shane com - ho
POI,teluk cinta,teluk cinta
POI,keris mas toko,keris mas toko
POI,apotek adhyaksa farma,apotek adhyaksa farma
POI,bunda,bunda
POI,palm spring regency,palm spring regency
POI,pt multipolar technology,lippo village
POI,taman ceria,taman ceria
POI,am7 cell,am7 cell
POI,rph pulogadung,rph pulogadung
POI,dirty chicks,dirty chicks
POI,masjid jami' baitul hasaniyah,masjid jami' baitul hasaniyah
POI,bakso urat dan mie ayam,bakso urat dan mie ayam
POI,kudamas tokopi,kudamas toko
POI,warung bunga,warung bunga
POI,toko anastasia acc,toko anastasia acc
POI,banjar dinas kawanan,banjar dinas kawanan
POI,perum griya kencana,perum griya kencana
POI,fajar gemstone,fajar gemstone
POI,ganda manah,denny manji
POI,toko moyomi,toko moyomi
POI,rental mobil trent,rental mobil trent
POI,tambang ayam,tambang ayam
POI,sman 4 banjarmasin,sman 4 banjarmasin
POI,kpa regency,kpa regency
POI,atm bri,atm bri
POI,wajak wajak,pasar wajak
POI,muara baru,muara baru
POI,jababeka education park,jababeka education park
POI,surya jaya pratama. cv,surya jaya pratama. cv
POI,kos kosan pondok kedaton,kos kosan pondok kedaton
POI,bengkel & dealer chevrolet samarinda,bengkel & dealer chevrolet samarinda
POI,perusahaan daerah air minum purwakarta,perusahaan daerah air minum purwakarta
POI,zona soft drink,zona soft drink
POI,dusun setana,dusun setana
POI,warji indramayu,warji
POI,bandar udara melonguane,bandar udara melonguane
POI,puskesmas cileunyi wetan,puskesmas cileunyi wetan
POI,tb anugrah utama,tb anugrah utama
POI,kampus 2 uin walisongo,kampus 2 uin walisongo
POI,ra karangjunti,ra karangjunti
POI,cuci motor,cuci motor
POI,cordoba d27,cordoba d27
POI,abdee fishing,abdee fishing team 86
POI,rust cell,rust cell
POI,azhar botot,azhar botot
POI,oscar ud,oscar ud
POI,toko peralatan,toko peralatan
POI,bata,bata
POI,tk idhata 1,tk idhata 1
POI,ruko sentral,ruko sentral
POI,brug kuning,brug kuning
POI,terminal haji. pt,terminal haji. pt
POI,legenda education group,legenda education group
POI,kenari farm gallery,kenari farm gallery
POI,stmj durenan,stmj durenan
POI,asrama mahasiswa ui,asrama mahasiswa ui
POI,stock house,stock house
POI,cafe,cafe manggar
POI,linaya community living,linaya community living
POI,himajaya,himajaya
POI,perumahan wahana,perumahan wahana
POI,warung kopi bang gendut,warung kopi bang gendut
POI,indopalm perkasa,indopalm perkasa
POI,pelabuhan desa humusu wini,pelabuhan wini
POI,smp negeri 4 sumberasih,smp negeri 4 sumberasih
POI,kedai chili padi,kedai chili padi
POI,toko nayla,toko nayla
POI,graha prima baru,graha prima baru
POI,toko abid jaya,toko abid jaya
POI,pegadaian,pegadaian
POI,mis al amin,mis al amin
POI,r3d's sport,r3d's sport
POI,perumahan nuansa indah pratama,perumahan nuansa indah pratama
POI,toko jok mul,toko jok mul
POI,ema warung,ema warung
POI,best meat,best meat
POI,lippo cyber park,lippo cyber park
POI,mal cijantung,mal cijantung
POI,tahu tek 1001 night,tahu tek 1001 night
POI,komplek purinusa karawaci,komplek purinusa
POI,kp kebon kopi,kp kebon kopi
POI,griya salsabila permai,griya salsabila permai
POI,kedai es kelapa the kokos,kedai es kelapa the kokos
POI,santos pertama pt,santos pertama pt
POI,errista wedding organizer,errista wedding organizer
POI,warung bapak ajun,warung bapak ajun
POI,dki,dki
POI,jogja jaya furniture,jogja jaya furniture
POI,penurunan skater putri,skater
POI,tb timur baru,tb timur baru
POI,seberang guest house,bumi hijau
POI,warung gmac,warung gmac ciro
POI,griya yuni hijab,griya yuni hijab
POI,slamet riyadi,slamet riyadi
POI,wisata bukit mas,du lyon
POI,bakmi jogja pak sumeh,bakmi jogja pak sumeh
POI,terminal krian,terminal krian
POI,tower emerald,tower emerald
POI,mangga dua mallongi,mangga dua mall
POI,perumahan jaya permai,perumahan jaya permai
POI,rohis,rohis
POI,nasi krawu bu lilik,nasi krawu bu lilik
POI,toko batik mamat jafar,toko batik mamat jafar
POI,taman 5 ulu,taman 5 ulu
POI,pangkas rambut athirah,pangkas rambut athirah
POI,toko eni,toko eni
POI,madrasah tsanawiyah alwasliyah,madrasah tsanawiyah alwasliyah
POI,pangkas rambut alfin nugraha,pangkas rambut alfin nugraha
POI,es teler 77-tsc,es teler 77-tsc
POI,waroenk nina,waroenk nina
POI,graha sampurna,graha sampurna
POI,dinas pertambangan & tenaga,dinas pertambangan & tenaga kerja
POI,wisata semanggi,wisata semanggi
POI,padang halaban,padang halaban
POI,utama.delta silikon 1,delta silikon 1
POI,rizal,rizal
POI,jamstationmalanggmailcoid surabi,jamstationmalanggmailcoid
POI,soto daging,soto daging
POI,toko muhammad semayap,toko muhammad
POI,perum griya dinar,perum griya dinar
POI,bright,bright
POI,puspitasari,puspitasari
POI,poris plawad,poris plawad
POI,perumahan bayur sarana indah,perumahan bayur sarana indah
POI,mokko factory,mokko factory
POI,toko kaca,toko kaca
POI,kantor desa tandan sari,kantor desa
POI,alfamart,alfamart
POI,kebab super boo,kebab super boo
POI,harco,harco
POI,klinik zihad insani,klinik zihad insani
POI,pt. colombus,pt. colombus
POI,commercial area,"commercial area, ruko buah batu"
POI,aj sport,aj sport
POI,lapangan merdeka,lapangan merdeka bintuhan
POI,lotek mbok las,lotek mbok las
POI,dhifa audio,dhifa audio
POI,inten toko,inten toko
POI,family tour,family tour
POI,pemakaman cupak,pemakaman cupak
POI,lucky watch,lucky watch
POI,klinik bazda,klinik bazda
POI,klinik pratama medika,klinik pratama medika
POI,house of pastri and cakes,house of pastri and cakes
POI,smp pgri 32,smp pgri 32
POI,diya motor,diya motor
POI,one,pipit one
POI,kalimulyo kel.,kalimulyo kel.
POI,margo suko group pt,margo suko group pt
POI,mitra bakery,mitra bakery
POI,smks sm tsjafioeddin singkawang,smks sm tsjafioeddin singkawang
POI,kedai mie kdl,kedai mie kdl
POI,jawa indah express,jawa indah express
POI,ayuki cell,ayuki cell
POI,yesa juice,yesa juice
POI,teras country residence,teras country residence
POI,uniqa salon & laundry,uniqa salon & laundry
POI,green garden,ters citra green garden
POI,isi ulang apar cikande,isi ulang apar cikande
POI,spbu bulu,spbu bulu
POI,toko widayat,toko widayat
POI,gandaria pekayon,gandaria pekayon
POI,sekolah menengah kejuruan (smk) bpi burung,sekolah menengah kejuruan (smk) bpi
POI,tirtamulya,tirtamulya
POI,isnaini,isnaini
POI,mts swasta miftahul ulum,mts swasta miftahul ulum
POI,perumahan graha bumi ayu,perumahan graha
POI,dokter andra,dokter andra
POI,bank bii pt,bank bii pt
POI,griya sehat fitri,griya sehat fitri
POI,zaza laundry,zaza laundry
POI,konco lama,konco lama
POI,alfamart,alfamart
POI,reklame dan percetakan fajar,reklame dan percetakan fajar
POI,chandra dimuka,chandra dimuka
POI,asrama tni ad,asrama tni ad
POI,jembatan ampera,jembatan ampera
POI,caramello waxing,caramello waxing
POI,gerbang permai,gerbang permai
POI,bank jabar banten,bank jabar banten
POI,pasar modern mutiara,dapoer cianjur
POI,perum bumi anugerah,perum bumi anugerah
POI,toko karunia,toko karunia
POI,smk swasta dharma utama,smk swasta dharma utama
POI,pangkas rambut galunggung titasik,pangkas rambut galunggung titasik
POI,masjid nurul huda,masjid nurul huda
POI,alfamart,alfamart
POI,aneka jaya auto mobil,aneka jaya auto mobil
POI,gadjian.com,gadjian.com
POI,masjid al ikhlas,kebun raya cibodas
POI,lestari residence,lestari residence
POI,tower sakura,tower sakura
POI,pasar rumput,pasar rumput
POI,toko apollo,toko apollo
POI,ptp link,ptp link
POI,ipah toko,ipah toko
POI,perum dirgantara permai,perum dirgantara permai
POI,sei beras sekata puskesmas,puskesmas sei mencirim
POI,ayam gepuk,ayam gepuk
POI,aneka stationary,aneka stationary
POI,happy barber shop,happy barber shop
POI,emon salon,emon salon
POI,supriyanto,supriyanto
POI,rusun cakung km2,rusun cakung km2
POI,jatnika motor oil,jatnika motor oil
POI,indo mart,indo mart
POI,dharma wanita persatuan kecamatan,dharma wanita persatuan kecamatan cilacap utara
POI,kavling polri,kavling polri
POI,gopala tour,gopala tour
POI,barokah. cv,barokah. cv
POI,habitat terrace residence,habitat terrace residence
POI,fadil,fadil
POI,anugrah,anugrah baru
POI,smp sw. htkp sidikalang,smp sw. htkp sidikalang
POI,bengkel motor,bengkel motor
POI,warung nasi uduk betawi po tiwi,warung nasi uduk betawi po tiwi
POI,maybank,maybank
POI,moshi moshi ramen,moshi moshi ramen
POI,warung edison,warung edi
POI,toko desro,toko desro
POI,solihin,solihin
POI,bubur ayam bontot,bubur ayam bontot
POI,bakso pak kardi,bakso pak kardi
POI,toko janta b,toko janta b
POI,putra mataram,putra mataram
POI,traffic digital,traffic digital
POI,jati padang,jati padang
POI,toko sembako udin,toko sembako udin
POI,apotek solo,apotek solo
POI,warung sayur ibu nano,warung sayur ibu nano
POI,axa mandiri insurance,axa mandiri insurance
POI,riama,riama
POI,sopo del tower,sopo del tower
POI,mie ba' kamp.,mie ba' kamp. jawa
POI,jembatan gantung,jembatan gantung
POI,jembatan kalawi,jembatan kalawi
POI,kost furia,kost furia jalur 6
POI,inten,inten
POI,sri ratu,sri ratu
POI,pt silva,pt silva
POI,megu cilik cv danar pratama,cv danar pratama
POI,taman deo,taman deo sorong
POI,padang halaban,padang halaban
POI,mulia minang,mulia minang
POI,toko susu rossy kids,toko susu rossy kids
POI,toko muri,toko muri
POI,coffee garden,coffee garden
POI,titan cell,titan cell
POI,pt. yesda cargo service,soya kecil
POI,innovation factory,innovation factory
POI,green bay,green bay
POI,plamo garden,plamo garden
POI,asrama tni ad,asrama tni ad
POI,pt. rizki fadhilah,pt. rizki fadhilah
POI,palm spring regency,palm spring regency
POI,perumahan tanjung selamat lestari,perumahan tanjung selamat lestari
POI,bank bri,bank bri
POI,adyastha motor,adyastha motor
POI,lapau jo kudun,simpang patai
POI,gedung gramedia majalah,gedung gramedia majalah
POI,toko noval dan sasa jaya sejahtera,toko noval dan sasa jaya sejahtera
POI,warung kopi pahlawan twin vape,warung kopi pahlawan twin vape
POI,komplek mitra krekot,komplek mitra krekot
POI,ud idup bin,ud idup bin teih
POI,komplek karya baru permai,komplek karya baru permai
POI,vihara maitri,vihara maitri
POI,gedung mnc financial center,gedung mnc financial center
POI,yes cafe dan cake,yes cafe dan cake
POI,aceh toys gallery,aceh toys gallery
POI,mysnooze.store,mysnooze.store
POI,ijul,ijul
POI,depot bakso solo & mie ayam sb barokah,depot bakso solo & mie ayam sb barokah
POI,multi aluminium,multi aluminium
POI,terminal siantan,terminal siantan
POI,qalesya salon,qalesya salon
POI,ubin panah,ubin panah
POI,toko ari,toko ari
POI,reina shoes,reina shoes
POI,king foto,king foto
POI,bustanussalam kel.,bustanussalam kel.
POI,yoga tama cv,yoga tama cv
POI,kos wardoyo,kos wardoyo
POI,merta tegal genteng,merta tegal genteng
POI,ubi cilembu magetan,ubi cilembu magetan
POI,warga jaya pd,warga jaya pd
POI,mall rosok pak yono,mall rosok pak yono
POI,toko m sain,toko m sain
POI,terminal pakusari,terminal pakusari
POI,kantor badan pertanahan kutai timur,kantor badan pertanahan kutai timur
POI,jaya maspion permata,jaya maspion permata
POI,toko aki motor dan mobil arya 76,toko aki motor dan mobil arya 76
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,la beaute salon & waxing,la beaute salon & waxing
POI,terminal grogol,terminal grogol
POI,komplek polri cipinang atas,komplek polri cipinang atas
POI,sancu,sancu
POI,rizky salon,rizky salon
POI,pt haco lotim kantor cab dompu,pt haco lotim kantor cab dompu
POI,bb house,bb house
POI,mulya mart mf,mulya mart mf
POI,mamar sumarna,mamar sumarna
POI,kawaii,kawaii
POI,warung kariami,warung kariami
POI,hard coffe,hard coffe
POI,bandar tinggi,bandar tinggi
POI,delta indo ud,delta indo ud
POI,graha aditya,graha aditya
POI,sea mitra,sea mitra
POI,bengkel bubut zhani,bengkel bubut zhani
POI,saung piteuliheun,saung piteuliheun
POI,rusun cinta kasih tzu chi,rusun cinta kasih tzu chi
POI,stasiun sasaksaat,stasiun sasaksaat
POI,gedung silver,gedung silver
POI,rusun marunda 2,rusun marunda 2
POI,demak ijo,demak ijo
POI,indogrosir amplas,indogrosir amplas
POI,retro,retro
POI,rptra kampung indah lestari,rptra kampung indah lestari
POI,perum griya mukti,perum griya mukti
POI,dita tour travel,dita tour travel
POI,klinik mahdarina,klinik mahdarina
POI,rm rang tanjung,rm rang tanjung
POI,grosir seneng,grosir seneng
POI,sd negeri gadog 06,sd negeri gadog 06
POI,pecel lele mas gi,parak juar
POI,gelis permatadaya,gelis permatadaya
POI,al-q collection,al-q collection
POI,east meet west clinic,east meet west clinic
POI,ibu yayuk,palm spring regency
POI,palm spring regency,palm spring regency
POI,sd negeri 5 gantung,sd negeri 5 gantung
POI,graha situsari permai,graha situsari permai
POI,elsa tour,elsa tour
POI,shinta,shinta
POI,damri kantor pemasaran kebon kawung 20,damri kantor pemasaran kebon kawung 20
POI,depo keramik,depo keramik
POI,toko medi,toko medi
POI,permata mulia residence,kebun kopi
POI,adhe toko,adhe toko
POI,sengkaling mebel,sengkaling mebel
POI,tanah merah,tanah merah
POI,kantor polisi,kantor polisi
POI,dokter endra hari murti,dokter endra hari murti
POI,toko een,toko een
POI,halte t.gading,halte t.gading
POI,yayasan sri asih pratama,yayasan sri asih pratama
POI,kios yuyun,kios yuyun
POI,jasa kompyuter,jasa kompyuter
POI,hara abadi,hara abadi
POI,somerset ice bread,somerset ice bread
POI,tiga jumpa. cv,tiga jumpa. cv
POI,eka cell,eka cell
POI,citra garden city,citra garden city
POI,salon lucky,salon lucky
POI,toko budi tani,toko budi tani
POI,bsa futsal,bsa futsal
POI,perumahan titian puti saiyo sa,perumahan titian puti saiyo sa
POI,perum dirgantara permai,perum dirgantara permai
POI,mamat stiker kecubung,mamat stiker
POI,pt. nusa karya mandiri,pt. nusa karya mandiri
POI,sungai tuha,sungai tuha
POI,auto mobil,auto mobil
POI,terminal pasar minggu,terminal pasar minggu
POI,aks137 komarudin,komarudin
POI,taman motika,taman motika
POI,gardenia park,gardenia park
POI,pusat dum serius,pusat dum serius
POI,toko ma cell,toko ma cell
POI,sunrise mount,kintamani sunrise mount batur trekking
POI,syafei,syafei
POI,tk dharma wanita,tk dharma wanita
POI,mojopahit jok,mojopahit jok
POI,perumahan bamboo residence,perumahan bamboo
POI,rusun pulo gebang,rusun pulo gebang
POI,villa mutiara bintaro,villa mutiara bintaro
POI,perumahan puri saujana 2,perumahan puri saujana 2
POI,istana sepeda,istana sepeda
POI,griya karya commuter jakarta,jakarta kota
POI,masjid nurus shobah,masjid nurus shobah
POI,alvin listrik,alvin listrik
POI,pelabuhan sungai duku,pelabuhan sungai duku
POI,bbm steak,bbm steak
POI,gedung philips baru,gedung philips baru
POI,akhmad maxi photography,akhmad maxi photography
POI,komplek puri citra,komplek puri citra
POI,warung jengkol,warung jengkol
POI,sunter agung sunter mall,sunter mall lt.2
POI,mie bledag,mie bledag
POI,medan baik,medan baik
POI,-klinik terapi masase,plaza uny
POI,plaza uny,plaza uny
POI,perumahan bumi asri,perumahan bumi asri
POI,alfamart,alfamart
POI,pasar margorejo,pasar margorejo
POI,rm simpang raya,rm simpang raya
POI,toko kelontong,toko kelontong
POI,inaq ibuk,inaq ibuk
POI,alwamyeshop,alwamyeshop
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,lapangan tenis wisma muktisari,lapangan tenis wisma mukti
POI,bakso pak lek rensing,bakso pak lek rensing
POI,rumah makan citra selera,rumah makan citra selera
POI,griya sekawan mudal,griya sekawan
POI,inti sarana bima sakti pt,inti sarana bima sakti pt
POI,hotel bintang,hotel bintang
POI,pt . petrogas wira jatim,gedung medan pemuda
POI,gedung medan pemuda,gedung medan pemuda
POI,kantor desa kalisongo,kantor desa kalisongo
POI,perumahan gerbang kencana,perumahan gerbang kencana
POI,rumah idaman-ku,rumah idaman-ku
POI,dinamika kreasindo (deka),dinamika kreasindo (deka)
POI,ln masjid al baidho raya,masjid al baidho
POI,toko hj. ros,toko hj. ros
POI,balai desa bageng,balai desa bageng
POI,taman cerdas pajang,taman cerdas pajang
POI,ampera tokopi,ampera toko
POI,toko bom medan-tanjung,toko bom
POI,stasiun labuhan ratu,stasiun labuhan ratu
POI,alun-alun purwakarta,alun-alun purwakarta
POI,os style hotel,putri hijau complex
POI,flyover pramuka,flyover pramuka
POI,green mansion,green mansion
POI,ngarum potong rambut rustam,potong rambut rustam
POI,pelem km.05.kab. bangak 05,km.05.kab.
POI,griya cemerlang,griya cemerlang
POI,za - seng,za - seng
POI,rakyat lahir,pemimpin rakyat lahir dari rakyat
POI,agung raya toko,agung raya toko
POI,rubi toko,rubi toko
POI,western union,western union
POI,pusat jubah saudi impor,pusat jubah saudi impor
POI,tuah tamita cv,tuah tamita cv
POI,bung karno,bung karno
POI,titis,titis
POI,purnama tokopi,purnama toko
POI,via net,via net
POI,warung makan bakso bagio,warung makan bakso bagio
POI,puskesmas pembantu singkur pasir,puskesmas pembantu
POI,smart rack internasional,smart rack internasional
POI,ani,ani
POI,jual rumah shm,jual rumah shm
POI,pt nuansa indah putri,pt nuansa indah putri
POI,lapas,lapas paledang bogor kota
POI,belantik sapi agus,belantik sapi agus
POI,yumi laundry,yumi laundry
POI,kavling polri,kavling polri
POI,kjk pemk tebet barat,kjk pemk tebet barat
POI,terminal pasar senen,pasar senen
POI,lkp ilon,lkp ilon
POI,shop cell,shop cell
POI,spesialis cat mobil,spesialis cat mobil
POI,sd negeri gang aut,sd negeri gang aut
POI,fidela grosir,fidela grosir
POI,oriental abadi indonesia pta,oriental abadi indonesia pt
POI,tempatbiasa coffee,tempatbiasa coffee
POI,kaona muslim martabak,kaona muslim mart
POI,leonna,leonna
POI,laksmi jayalina,laksmi jaya
POI,es kelapa muda sak josse,es kelapa muda sak josse
POI,griya melati mas,griya melati mas
POI,jembatan tinggi tpar,jembatan tinggi
POI,h a supriana,h a supriana
POI,ud madri pasar ulakan,ud madri pasar ulakan
POI,warung kopi c dan c,warung kopi c dan c
POI,dokter juice dan bakso mie ayam cjdw,dokter juice dan bakso mie ayam cjdw
POI,taski petshop,taski petshop
POI,balai pertemuan cijujung,balai pertemuan
POI,21 cell,21 cell
POI,lia net,lia net
POI,kaitron interior & furniture,kaitron interior & furniture
POI,nasi meong mas,nasi meong mas bung
POI,pak rizon,pak rizon
POI,air minum isi ulang sehat,air minum isi ulang sehat
POI,rusunawa tni al,tni al
POI,fadlan jaya,fadlan jaya
POI,delima residence,delima residence
POI,baca edelweiss,taman baca edelweiss
POI,omah batik pb. sudirman,omah batik
POI,moza net,moza net
POI,masjid al-hikmah,masjid al-hikmah sokomoyo
POI,stasiun lempuyangan,stasiun lempuyangan
POI,apotek deviate,apotek devi
POI,warung jati,warung jati
POI,toko wati,toko wati
POI,pengadilan agama,pengadilan agama
POI,angkringan kang dodo,angkringan kang dodo
POI,sekretariat rw 04,sekretariat rw 04
POI,paradise resort,paradise resort
POI,yumariati,yumariati
POI,paradise resort,paradise resort
POI,smp muhammadiyah,smp muhammadiyah
POI,yayasan sosial,yayasan sosial teratai indah
POI,masjid al mukmin,masjid al mukmin jatisari
POI,focus,focus
POI,palm spring regency,palm spring regency
POI,jays motor,jays motor
POI,alam barajo,alam barajo
POI,riza fashion,riza fashion
POI,pacuan kuda pulo mas,pacuan kuda pulo mas
POI,kios dipa tani,kios dipa tani
POI,masjid jami' al-ukhuwwah,masjid jami' al-ukhuwwah
POI,hura pangkas,hura pangkas
POI,ria cellular,ria cellular
POI,dapoer sunu,dapoer sunu
POI,taman narogong indah,graha wahana
POI,mes 2 lion,mes 2 lion air
POI,sawah besar farma pt,sawah besar farma pt
POI,ekonomi,ekonomi
POI,marelan 8,irian swalayan
POI,kios toko,kios toko
POI,kantor lurah,kantor lurah
POI,green house,green house
POI,khayyara collection,khayyara collection
POI,kebayoran villas,kebayoran villas
POI,alfamart,alfamart
POI,taman nusa,taman nusa
POI,lebah munte,lebah munte
POI,bujang,bujang
POI,ti phone,ti phone
POI,mega kencana toko,mega kencana toko
POI,masjid,masjid
POI,midi sj40 guru tua,midi sj40 guru tua
POI,balai rupih,balai rupih
POI,vivo residence,vivo residence
POI,waroeng ambu,depan lapang voli
POI,warmindo putra,warmindo putra pranata
POI,puskesmas karanganyar,puskesmas karanganyar
POI,anjungan leok,anjungan leok
POI,maulafa gmit. tamariska,gmit. tamariska maulafa
POI,teluk nara,teluk nara
POI,"mahad al-jamiah walisongo, kampus 2 uin walisongo",kampus 2 uin walisongo
POI,jago aki oebobo,jago aki oebobo
