,POI,hash_raw_address
1492,jiwasraya pt persero asuransi,jiwasraya pt persada asuransi trikora wosi
1506,perum the sun villages,notaris 11 damarsi perum the sun village buduran
1522,ra  tkq plus tarbiyatun nisaa,ra tkq plus tarbiyatul nisaa letkol atang sanjaya 
1576,"dr. paulus simadibrata, sppd",dr paulus simadibrata sppd garnisun dalam 8 karet semanggi setia budi
1579,kios rumiwa,kios rumput sp kaw l batu 
1580,toko mitrajaya,toko mitra 
1581,rm markotop,rm mark puring
1584,masjid al-marwah,masjid al ma anggrek 
1588,cahaya putra. cv,cahaya putra cv umar sungai asam pasar jambi
1593,bank bri unit peneki,bank bri unit penyet takkalalla
1594,smk farmasi pharmaca,sei putih barat smk farm pharmaca tinta notaris 45 20118 medan petisah
1617,"dr. markus rambu, sp.tht-kl",ahmad yani dr market rambu sp tht kl 
1619,g-tech dive garage,g t dive garage lautze maphar taman sari
1646,gor volly kandaga,goreng volly kandang raya cipayung cipatat cipatat
1649,masjid az-zahra,masjid az z padaulun
1666,cv. garudha,cv garu raya ngawi solo
1687,roromendut stockis bekasi gd2205,roromendut stockist bekasi gd2 jatiraden
1691,sma widya pramita,sma widya pramuka kertanegara
1702,parutan kelapa bu sutarti,parutan kel bu sutarti taman martani
1753,anak tamora cafe,anak tambal cafe sisingamangaraja
1755,tpa al-hidayah,tpa al hidayah girirejo
1773,toko malika silver,toko malang silver panca warna way serdang
1837,surya electrical,surya electronic semeru sawahan
1849,komplek klandasan permai b-6,jl jenderal sudirman klandasan ilir komplek klandasan permai b 6 balikpapan kota
1856,masjid baitur rohman,masjid baiturrohim rohman delanggu
1885,idaman megah indah,ida megah indah ir h juanda notaris 149
1908,basecamp & shop official noah,base shop official noah sumbawa merdeka
1933,supini,sup jenderal gatot subroto 
1945,pangkas rambut mantap,pangkas rambut man dempo 
1972,madrasah diniyah takmiliyah awwaliyah al - falah,ciherang madrasah diniyah takmiliyah awwaliyah al falah raya ling nagari 40397 nagreg
1988,parkir bus ipb,parfum busana ipb babakan dramaga
1995,toko alfa bangunan,toko alfamart bang guru hasan
2003,itc mangga dua lt. 4,itc man dua lt 4 man dua 65 rta 11 5 pademangan
2015,bank tabungan negara pt persero tbk,jenderal ahmad yani 19b bank tabungan negara pt persada tbk jombang
2020,herlin cell,herbal cell ra abus suka bangun
2042,tk it al-ikhlas kembang,tk it al ikhlas kembang pantura ampel
2045,"jam 6 pagi sampai jam 8 malam, bendungan wetan",jatipurwo jam 6 pagi sampai jam 8 malang bendungan wetan rta 30 rw 10 jatipuro
2059,tk pgri x grabag,tk pgri x gracia
2088,madrasah aliyah al ikhwan,madrasah aliyah al ikhlas
2098,konter lilis ponsel,konter lilis pondok sun mengkurai 
2123,wellness,well podomoro city grogol petamburan
2152,dynasty core computer & cellular,dynamic core computer cellular putra 11 sidanegara
2156,es cendol elizabeth,es center elizabeth k h abdul halim majalengka
2163,samudra trikora loyd. pt pelayaran,samudra trikora loyd pt pelayanan karang kencana panjunan lemahwungkuk
2168,kopdaran sagaya motor community,boulevard hijau raya 1 pejuang kopdaran sagara motor community
2169,time pieces,time pie menteng dalam
2196,internasional komputer pt,international komplek pt man dua raya 
2200,hellio hartono mall lt.lg,hellio hartini mall lt lg
2218,sebelum jemabatan arah ke jendral,kedungsari seberang jemabatan arah ke jendral dahlia 128d sukajadi
2225,masjid al-khusein,masjid al khusus 
2246,bali usaha karya. cv,bali usaha karang cv pulau buton dauh puri klod
2258,ponpes darut tauhid madad,pondok darut tauhid madad omben
2279,bentang electronic & furniture,benteng electronic furniture pelabuhan 
2305,kateno,kataji raya balo kedungpring
2333,yayasan al jamaah,yayasan al jam r e martad 
2336,kantor lurah mokoau,kantor lurah mok raya ciamis tamansari
2367,perumahan pesona sindangheula,perum pesona sindang pabuaran
2386,red beatique,red beat tol ling luar barat cengkareng timur cengkareng
2406,carmin,car haurpanggung
2419,pemakaman umumzain,pemakaman umum desa banyumanik banyumulek
2434,masjid al-bana,masjid al b tijayan manisrenggo
2443,yayasan bhakti suci jl. gajah mada pontianak,yayasan bhakti suci jl gajah mada pontianak gajah mada pontianak selatan
2447,masjid nurul iman sukademi,masjid nurul iman suka setu serang
2448,jillian tour & travel,jillian tour travel rejasa
2455,koperasi wartel,koperasi warung ikan lumbanpea lumbanpea krembangan
2498,pkbm puspasari,pkbm puspa cipaku
2511,warnet japerin,warung jape tipar cak cakung
2531,rental komputer ikhsan,rental komplek ikhlas unj 
2549,"mesjid darul falah, komplek pertokoan aur dalam samping",tarok dipo mesjid darul falah komplek pertokoan aur dalam samping guguk panjang guguak panjang 
2563,secret recipe,kantor pos 115 second recipe bogor timur kota
2565,banjarejo kel.,banja kel sedana notaris 4 taman
2569,baldes kandangsemangkon,balong kandangsemangkon raya pacific 
2581,kandang sapi mas agus,karang gaw lama kandang sapi masjid agus rw 5
2582,majelis taklim ar rahman,majelis taklim ar rahayu jenderal sudirman karang tengah
2601,bank negara indonesia,bank negeri indonesia kh mustika notaris 88 yudanagara cihideung
2628,saif celullar,saifani celullar pangkalan jati 3 cipinang melayu makasar
2649,warung sari laut mas ottong,pramuka 97 warung sari laut masjid ottong kolaka
2656,sd muhammadiyah siraman,sd muhammadiyah sirajul siraman pulungan wonosari
2683,mts al hidayah palasah,mts al hidayah pala raya cipayung palasah palasah
2688,es campur dan rumput laut rajawali,es campur dan rumput laut raja adinegoro lubuk buaya koto tangah
2697,marwan,market raya rejeki rejoso
2713,atal sports,atalanta sports komis besar polsek m durian 229 rw 8 genteng
2730,klinik pratama asy-syifa,flamboyan klinik pratama asy syifa ratu agung
2749,sd negeri sruwen 02,sd negeri sruput 02 kemet tengaran
2761,zafran collection,zafira collection 51153
2762,ud. alhamdulillah,ud alhamdulillah karya jaya pangkalan masyhur medan johor
2791,toko seia sekata,toko seia sektor lumban dolok balige
2811,natnay shop,natuna shop
2832,imatho family care,sawojajar notaris 18 ima family care kraton
2838,toko kelvin,toko kel bahari yusuf tembilahan
2856,dr. erawati,dr erawati 
2879,waroeng es kelapa muda bang emon,waroeng es kel muda bang emon raya suka 
2893,"taman graha perjuangan, yos sudarso",taman graha perjuangan yos sudarso jl jl jenderal sudirman ciamis ciamis
2908,dinas pertanian kotatual,kel ketsoblak dinas pertamina kotatual 97611
2911,toko binatang,toko bina raya kreasi
2912,"springhill office tower, floor 20th",timur pademangan springhill office tower floor 20th jl beny suaeb ruas d6 rw 10 14410 pademangan
2916,ag textil toko,stasiun kereta api notaris 2 ag tex toko kesawan
2937,percetakan dan fotocopy neshia,percetakan dan foto neshia 
2940,ravirianmas. pt,ravirianmas pt dr sambel ratulangi mamajang luar
2946,matahari. tb,matahari tb tobat balaraja
2956,new sarangan,new sarana kh noer ali 
2969,station cellular bppn,station cell bppn ban balikpapan tengah
2977,toko zainah anang,sekawan notaris 47 toko zaitun anang 
3008,ud. saliyan,ud salimah watu gilang purbayan kotagede
3019,indosurya simpan pinjam,indosurya simpan pinang embhul gayam
3034,masjid at taubah,masjid at taufiq veteran 
3045,batik lwang wentar,batik lwang wen 
3056,cafe dan rental ps4 pes 2018,cafe dan rental ps4 pesona 2018 halmahera sipatana
3058,purimas,puri i gusti ngunan raihan e4 2 7 gunung anyar gununganyar
3064,kantor lurah penatih,kantor lurah pena trengguli
3071,pt purinta sistem indonesia,pt purinta sis indonesia rw 7 sambiroto tembalang
3077,bank negara indonesia,bank negeri indonesia airlangga balung lor balung
3080,kareba cafe,karang cafe bulu gading bulogading ujung pandang
3093,smk nur syafi'il ummah,ipik gangga notaris 12 smk nur syaf ummah tegalmunjul
3099,pengolah makanan nur hidayah,pengolah makassar nur hidayah sari pahandut
3129,kharisma sport & musik,kharisma sport musik kendal weleri bugangin kendal
3133,samping masjid jami' bin furaidan,samping masjid jami bin furaidan mekar sorong ii kadia kadia
3145,pet shop mathias,pet shop mathlaul budi luhur 
3150,cv. prada pandanaran pratama,cv prada pandanaran pratama purworejo kudus 59372 undaan
3166,al-fath 2,al f 2 raya blongkeker jepon
3169,pt. sarana multigriya finansial,pt sarana multigriya financial pangkas polim raya kebayoran baru
3174,kompas gramedia,komang gramedia gelora tanah abang
3184,toko perhiasan mas rejo mulyo,toko perhiasan masjid rejo mulyo pasar ledok wetan bojonegoro
3189,kenangah acupoint theraphy,kenanga acupoint therapy selera permai sampang
3205,kantor satlantas bangko,kantor satlantas ban bagan punak meranti
3206,kedai kopi tangkis,kedai kopi tang bohar
3209,pesantren miftahul hidayah al-syafa,pesantren miftahul hidayah al syafa
3214,mdpu finance. pt,mdpu finance pt raya lab saruni
3224,potong rambut niksen,potong rambut nikmat center gedangan
3225,onna window fashion,onna win fashion aria jaya santoso pasir nangka
3246,griscell,gris glanggang pakisaji
3249,r sha muslim collection,raya suruh notaris 63 r shanti muslim collection
3254,lapangan voly methuk,lapangan voly meteor ngombak
3275,kantin politeknik api yogyakarta,kantor politeknik api yogyakarta tambal bayan 17 depok
3336,balai banjar kaleran kaja,balai ban kaleran kaja yeh embang
3337,grand cempaka resort & convention,grand cempaka resort convention agung 
3339,yunidar sulaman,yunidar sulawesi istana 
3360,griya terapi sinergi,griya terang sinergi lima kaum lima kaum
3387,rumah makan elok rasaki,rumah makan elok rasuna haji tumpang i panunggangan utara pinang penang 
3413,brillian house,brilink house 
3420,borneo,bor ahmad yani cikampek selatan
3426,hiliuso kel.,hiliuso kel hiliuso
3473,puskesmas perawatan tanjung seloka,puskesmas perawatan tanjung selera pulau laut selatan
3475,praktek dr. poskes 05.10.23 tanggul,praktek dr pos 05 1 tang tanjung sari umbulsari
3489,dr. b. diego. nugroho,dr b diesel nugraha kapuas abdullah 
3552,master snow car wash,jakarta eu 2 masjid snow car wash sungai kunjang
3596,dokter h mulyoto adhi sp b,dokter h mulyono adhi sp b olahraga jogoloyo wonosalam
3597,toko saerah,toko sae lintas timur banjar margo
3606,komplek belakang rsud sungai dareh,empat koto pulau punjung komplek belakang rsud sun dareh lintas sumatera 27614 pulau punjung
3611,rm. padang sederhana,rm padang sederhana jenderal sudirman
3642,gbi rock tanjungpinang,gbi rock tanjung
3649,perdos untad b4 no 8,permai untad b4 notaris 8 
3661,bengket trisnodadi,bengket trisno tias bangun
3663,sma ash-shopa majalaya,sma ash s majalaya 
3675,bank palu anugerah,bank palu anugrah trans sulawesi parigi
3702,212 mart jatiasih,212 mart jati durian i jatiasih
3712,ksp. rmj singkut,ksp rmj sing lintas sumatera bukit tigo
3714,rumah makan minangkabau,rumah makan minang raya kronjo kresek
3760,smp negeri 5 satu atap pagimana,smp negeri 5 satu atap pagi tadu pagimana
3769,asrama tni ad denzipur-3,asrama tni ad denzipur perten notaris 24a 4 pasar rebo
3779,nuraini,nura suka harjo wardana 
3786,grand batam shopping centre #03-10,pembangunan notaris 12a batu selicin grand batam shop centre 03 10 lubuk baja
3797,perumahan dosen unram,perum dosen unram dasan agung baru
3821,penguruan ip man,pengusaha ip man merapi 
3822,sd negeri 11 samudera,sd negeri 11 samudra 
3824,masjid al-hikmah kalijaga,masjid al hikmah kalijaga cilibang
3832,industri tani. pt,ujung baru industri tani pt medan belawan kota
3842,rumah strawberry & kelinci lampung,rumah strawberry kelinci lampung telindo kedaung kemiling
3847,pusat oleh-oleh nusa indah,kemayoran pusat oleh nusa indah kh moh khoiru notaris 105 69116
3853,masjid jami al- falah,masjid jami al falah gelora 1 gelora tanah abang
3937,mbok jambul,mbok jam 
3953,arie zam-zam,arie zam kertamulia 
3966,sd negeri pasilian iii,sd negeri pasifik iii kronjo
3967,musholla baitul muttakin,musholla baitul muttaqin mojowarno
3982,pt. multi bangun abadi balikpapan,pt multi ban abadi balikpapan ahmad yani gunungsari ilir
3986,the kelikers,the kelinci pangkalan jati 1
4041,bakmi djowo semarangan benthuman,bakmi djowo semara benthuman kapuas adi sumatera 
4053,toko yunita,toko yun bagan batang sumut torgamba
4060,malibu cellular,malang cell veteran kudus kota
4077,nyonya laundry,nyoman laundry cicurug margaasih
4111,terbul merona,terbul merapi tidar selatan 
4114,mie pangsit jakarta 354,jati notaris 46 mie pangkas jakarta 354 pepelegi
4116,ibu suparti,ibu suparman pedan truk trucuk
4119,muhdir,muh raya cigugur s samudra
4140,miracle,mira ikan kaca notaris 212b
4154,pasar kemiri,basuki raya 79 kembangan utara pasar kembar rta 15 6 kembangan
4161,lahap phone store karawang,lahap phone store karaoke desa kondang jaya kondangjaya karawang timur
4203,mesjid al-kautsar,mesjid al kauman cilaku
4215,kb-tkit asy-syaffa 1,kb t asy syaffa 1 center magelang tengah
4241,warteg rw,pesanggrahan warung rw ulujadi raya notaris 42a rw 1 12320 pesanggrahan
4244,bandroll hair cut .inc,bandung hair cut inc taman keba indah babelan
4246,alvisel kids salon,alvi kids salon pondok ungu sektor 5 babelan
4289,pesantren raudhotul mustofa,pesantren raudhotul mustika nusa indah jaten
4311,pt. cipta krida bahari,pt cipta krida bahari kutisari selatan xv kutisari tenggilis mejoyo
4328,tk tahfidz baby-qu,tk tahfidz baby 
4346,nadema catering,kayu ara nadine catering merdeka lk iii sekayu
4349,bahana karya mandiri. pt,bahana karya mandiri pt radio dalam notaris 37a 9 kebayoran baru
4380,apoteker wulan destri lestari s fam apt,raya sorea notaris 53 apoteker wulan destri lestari s family apt karamatmulya
4407,lpi al-ustadz achmad umar baradja,lpi al ustadz achmad umar bara danak i ampel
4430,ukpalh jalawira uht,ukpalh jala uht uni hang tuah 
4433,"garut plaza, lantai dasar lantai 1",ciwalen garut planet lantai dasar lantai 1 gunung 328 44116 garut kota
4448,surya citra televisi pt,surya citra telepon pt pangkas hidayat
4453,pt. wiratama bhakti manunggal,pt wiratama bhakti manunggal lebak bulus ii notaris 1 rw 4
4464,masjid al-hidayah,masjid al hidayah
4474,rumah makan ciremai,rumah makan cirebon raya pempek
4524,mt jamiatul arifin,mt jami arifin kelurahan sengeti
4533,bangkit jaya trans,bang jaya trans pagerluyung gedeg
4542,toko meraja musilm,toko meraja muslim penun 
4547,askes. pt (persero) - semarang,askes pt persero semarang sultan agung gajah mungkur
4574,smp negeri 4 sabang,smp negeri 4 sablon balohan ke keunekai sukajaya
4596,blue monkey villa resort,blue monggo villa resort
4605,jatayu airlines. pt,jatayu airlines pt hang nadim 1 29416
4609,ud. rahayu,ud rahayu binjai t pura 
4647,sd negeri kadireso,sd negeri kadipiro kadireso
4668,ks pluit village ks21,ks pluit village pluit indah penjaringan
4683,azalia juice,aza juice a yani 
4686,mega eltra. pt,ban selatan 8 mega elteha pt rw 11 bandarharjo semarang utara
4693,bimbel pintar dan inovatif,harapan 6 26h bimbel pinang dan inovatif rta 7 rw 10 makasar
4699,po. nusantara,po nusantara kediri halisa 
4705,transpersada sejahtera. cv,transpersada sejahtera cv 
4739,tb bangunan baru,tb bang baru r e martad 
4747,ujung padang kel.,raja junj lubis notaris 64 ujung padang kel ujung padang
4761,hijabi,hijrah haji nawi raya gandaria selatan
4779,bank muamalat medan kantor kas binjai,bank muamalat medan kantor kasoem bin jenderal sudirman 
4810,diklat garudayaksa,diklat garuda desa karang tengah karang tengah
4814,pest control aceh,pestama control aceh hasan saleh notaris 75 neusu aceh
4828,warung makan sami seneng mas wawan,warung makan sami sentra masjid wawan wolter monginsidi 
4835,"quintrix, cv",quint cv dukuh setro iv a gading tambaksari
4840,warteg ayu sumber rezeki,warung ayu sumber rezeki haji moch raya petukangan utara
4868,sate sapi bumbon,sate sapi bumdes pakauman
4900,toko marino,toko market antara kelapa tiga tanjung karang pusat
4902,praktik dokter h pitra prana susila m kes,praktek dokter h pitra prana susilawati m kes 
4965,stc senayan lt. 1,asia afriza notaris 66 stc sena lt 1 rta 1 3 tanah abang
4973,b caro coffee shop,b carolus coffee shop harag 
4991,sd negeri no. 064023,sd negeri notaris 064 let jamin ginting kemenangan tani
5066,wisma pantai belitung indah,padang wisma pantai beli indah manggar
5098,the mushroom satai jamur,the musholla satai jamur temanggung
5105,ra nurul fauziyah,ra nurul fauziah limbangsari 
5120,toko bangun jaya tepat,toko ban jaya tepat pasar senen senen
5135,komplek mas karebet,talang kelapa komplek masjid karebet masjid raya 7 30124 alang alang lebar
5138,ramayan fashion,rama fashion soekarno hatta 
5146,zhonghai indo shipping. pt - palembang,zhonghai indo shipping pt palembang nurul hidayah 2 ilir
5163,caraka buana indonesia. pt,car buana indonesia pt garn dalam 8 setia budi
5176,terminal sungai liat taman kota sungai liat,terminal sun liat taman kota sungai liat kabul
5193,surya gading property-,surya gading property 
5199,christiana jewellery,man dua raya b 134 christ jewellery rw 5 pademangan
5218,gadung motor,cabe 1 8d gading motor
5240,depot air minum isi ulang tirta bening,depot air minum isi ulang tirta bensin kapuas hana
5256,pos polantas julok,pos polaris julok banda aceh m 
5266,masjid ash-shiddiq,masjid ash shiddiq raya kalipaten 61257
5270,thamrin city lt. dasar,kebon melati thamrin city lt dasar k h masjid mansion 10 tanah abang
5271,warkop giras 77 - cak tarto,warung giras 77 cak tarto gubeng kerta xi airlangga
5307,rujak dan gado-gado bu' mi,rujak dan gado bu mi bangsal
5312,marine station tanbakrejo,market station tanbakrejo pondok dadap tambak rejo
5325,taman raga sampurna,taman raga samping batas sub karawang p suka sari
5328,pandawa. cv,pandawa cv teuku umar denpasar barat
5331,krisna rosano,krisna ros
5340,es dawet ayuang ncep,es dawet ayu ncep brigjend katapang anyar
5351,wayang cafe & kuliner,way cafe kuliner pasar besar medan krio
5354,masjid an-nashr,masjid an n hargosari
5360,toko anak nunggal,toko anak nung raya tapos tapos tigaraksa
5362,misnen,mis raya cigadung cigasong
5365,dwi rahmiyati hasyar,dwi rahmiyati hasyim srimben 2 
5374,dokter h. nusli yunus,dokter h nusli yunus d i panjaitan notaris 9 41215
5427,original produk export,original pro exportindo daan mogot 16h
5430,sd n 030295 sitohang,sd n 030 sitohang parbuluan iv
5436,tham reklame,thamrin reklame ir h juanda 
5455,p. tauchid,p tauchid pahlawan suko mulyo lamongan
5469,toko barokah sti rejeki,toko barokah stiker rejeki pulau pantai notaris 14 way dadi
5491,fitroh batik,fit batik pamotan
5500,kantor lurah sungai lilin,kantor lurah sun lilin raya betu lilin sungai lilin
5508,citarum apotik,cita notaris a 8 cita apotik 1 bugangan
5511,kantor jasa penilai publik nana & rekan,kantor jasa peni publik nana rekan j buntu
5543,taman pendidikan al qur'an nurul huda,taman pendidikan al qur an nurul huda
5548,soto segeer mbok sabi klaten,soto segara mbok sabilul klaten urai bawang pontianak kota
5575,wr sambal rawit,tanah seratus notaris 13 wr sambel rawit ciledug
5577,bali bingtang pub,bali bingkai pub
5587,pondok es kelapa muda,pejaten raya 46 pondok es kel muda rw 5 pasar minggu
5592,pasutra pt,pangkalan jati 2 8 pasundan pt rta 5 13 cipinang melayu
5617,pelita borneo tour,pelita bor tour sudirman 
5632,dokter gigi priska w a,dokter gigi prima w a kasu raya notaris 16 cikarang utara
5633,warkop mbak ten-tol banyu urip,warung mbak tengah tol banyu urip banyu urip sukomanunggal
5634,spesial belut surabaya h. poer,spesial belut surabaya h poernomo laksa muda adi suci blimbing blimbing
5635,subahri lsa jaya,subandi lsa jaya
5646,dinas pemuda dan olahraga kabupaten serdang bedagai,medan t tinggi dinas pempek dan olahraga kabupaten serdang bedagai
5649,sat jatiguwi,satria jati pahlawan jatiguwi sumberpucung
5668,makam nahuda gapeuh,makam nahuda gapura 
5669,toko mebel saerah,toko mebel sae brigjend jenderal katapang 
5687,es dawet cendol endolita,es dawet center endolita h o s cokro pekalongan selatan
5688,kamila,kampus durian 
5689,abon ikan kerupuk ikan katebi aisyah,abon ikan kerudung ikan katebi aisyah
5692,dom z barber shop,dom z bar shop benda cikalang
5702,threecom technology. cv,threecom techno cv pasar pandanaran air mati
5706,agung trisna ho,agung tri ho wen wana 
5711,ud rayyan ponsel simpang semadam,ud rayyan pondok simpang semarang simpang semadam
5725,pemerintah kabupaten blitar dinas tenaga kerja dan trasmigrasi,pemerintah kabupaten blitar dinas tengah kerja dan trasmigrasi imam bon gedogwetan
5765,wonogiri kel.,wonogiri kel raya blimbing 52364 ampelgading
5793,sukupat indah,ahmad yani barat suku indah banyuasri
5795,warung nasi sunda anwaryan jaya,warung nasi sunda anwarul jaya haji kamet kali sari pasar rebo
5803,pasar raya glodok bks 12,pancing 228 glodok pasar raya global bks 12 rta 2 1 taman sari
5857,badarussamsi pub & ktv,badarussamsi pub ktv sisingamangaraja notaris 71 pekanbaru kota
5861,bank central asia-biro pendukung perbankan domestik,bank central asia pendukung perbankan domestik warung jati barat 
5930,his tours & travel - bali outbound,hisana tours travel bali outbound bypass ngunan raihan kesiman kertalangu denpasar timur
5941,pabrik kopi cap jangkar,pabrik kopi cap jang pasiran
5943,butik hanina,butik han sun negeri kedung lumbudolo pasar kliwon
5966,toko sambal lingkung juna,komang yos sudarso 21 toko sambel lingkung junaedi tanjung pandanaran
