entity,predict,output
POI,pangkas rambut alfin nugraha,es teler 77-tsc
POI,pangkas rambut alfin nugraha,waroenk nina
POI,graha sampurna,graha sampurna
POI,graha sampurna,dinas pertambangan & tenaga kerja
POI,wisata semanggi,wisata semanggi
POI,padang halaban,padang halaban
POI,utama.delta silikon 1,delta silikon 1
POI,rizal,rizal
POI,toko muhammad,toko muhammad
POI,perum griya dinar,perum griya dinar
POI,bright,bright
POI,bright,poris plawad
POI,perumahan bayur sarana indah 2,perumahan bayur sarana indah
POI,perumahan bayur sarana indah 2,mokko factory
POI,toko kaca,toko kaca
POI,toko kaca,kantor desa
POI,alfamart,alfamart
POI,kebab super boo,kebab super boo
POI,harco,harco
POI,klinik zihad insani,klinik zihad insani
POI,klinik zihad insani,pt. colombus
POI,commercial area,"commercial area, ruko buah batu"
POI,aj sport,aj sport
POI,lapangan merdeka bintuhan,lapangan merdeka bintuhan
POI,lotek mbok las,lotek mbok las
POI,dhifa audio,dhifa audio
POI,inten toko,inten toko
POI,family tour,family tour
POI,family tour,pemakaman cupak
POI,lucky watch,lucky watch
POI,lucky watch,house of pastri and cakes
POI,smp pgri 32,smp pgri 32
POI,diya motor,diya motor
POI,pipit one,pipit one
POI,pipit one,kalimulyo kel.
POI,pipit one,margo suko group pt
POI,mitra bakery,mitra bakery
POI,mitra bakery,smks sm tsjafioeddin singkawang
POI,mitra bakery,kedai mie kdl
POI,ayuki cell,ayuki cell
POI,yesa juice,yesa juice
POI,teras country residence,teras country residence
POI,teras country residence,ters citra green garden
POI,isi ulang apar cikande,isi ulang apar cikande
POI,isi ulang apar cikande,spbu bulu
POI,toko widayat,toko widayat
POI,toko widayat,gandaria pekayon
POI,tirtamulya,tirtamulya
POI,isnaini,isnaini
POI,perumahan graha bumi ayu,perumahan graha
POI,perumahan graha bumi ayu,dokter andra
POI,bank bii pt,bank bii pt
POI,griya sehat fitri,griya sehat fitri
POI,zaza laundry,zaza laundry
POI,zaza laundry,konco lama
POI,alfamart,alfamart
POI,reklame dan percetakan fajar,reklame dan percetakan fajar
POI,reklame dan percetakan fajar,chandra dimuka
POI,asrama tni ad,asrama tni ad
POI,jembatan ampera,jembatan ampera
POI,caramello waxing,caramello waxing
POI,gerbang permai,gerbang permai
POI,bank jabar banten,bank jabar banten
POI,perum bumi anugerah,perum bumi anugerah
POI,toko karunia,toko karunia
POI,masjid nurul huda,masjid nurul huda
POI,alfamart,alfamart
POI,aneka jaya auto mobil,aneka jaya auto mobil
POI,gadjian.com,gadjian.com
POI,masjid al ikhlas,kebun raya cibodas
POI,lestari residence,lestari residence
POI,tower sakura,tower sakura
POI,pasar rumput,pasar rumput
POI,toko apollo,toko apollo
POI,toko apollo,ptp link
POI,ipah toko,ipah toko
POI,perum dirgantara permai,perum dirgantara permai
POI,perum dirgantara permai,puskesmas sei mencirim
POI,perum dirgantara permai,ayam gepuk
POI,aneka stationary,aneka stationary
POI,aneka stationary,happy barber shop
POI,emon salon,emon salon
POI,supriyanto,supriyanto
POI,rusun cakung,rusun cakung km2
POI,rusun cakung,jatnika motor oil
POI,rusun cakung,indo mart
POI,kios pasar eromoko,kios pasar
POI,kavling polri,kavling polri
POI,gopala tour,gopala tour
POI,barokah. cv,barokah. cv
POI,habitat terrace residence,habitat terrace residence
POI,habitat terrace residence,kebun raya massenrempulu enrekang
POI,fadil,fadil
POI,smp sw. htkp sidikalang,smp sw. htkp sidikalang
POI,bengkel motor,bengkel motor
POI,warung nasi uduk betawi po tiwi,warung nasi uduk betawi po tiwi
POI,moshi moshi ramen,moshi moshi ramen
POI,toko desro,toko desro
POI,solihin,solihin
POI,solihin,bubur ayam bontot
POI,bakso pak kardi,bakso pak kardi
POI,toko janta b,toko janta b
POI,putra mataram,putra mataram
POI,traffic digital,traffic digital
POI,traffic digital,jati padang
POI,toko sembako udin,toko sembako udin
POI,apotek solo,apotek solo
POI,apotek solo,axa mandiri insurance
POI,riama,riama
POI,sopo del tower,sopo del tower
POI,sopo del tower,mie ba' kamp. jawa
POI,jembatan gantung,jembatan gantung
POI,jembatan kalawi,jembatan kalawi
POI,kost furia,kost furia jalur 6
POI,kost furia,inten
POI,sri ratu,sri ratu
POI,sri ratu,pt silva
POI,cv danar pratama,cv danar pratama
POI,cv danar pratama,taman deo sorong
POI,padang halaban,padang halaban
POI,padang halaban,mulia minang
POI,toko susu rossy kids,toko susu rossy kids
POI,toko muri,toko muri
POI,toko muri,coffee garden
POI,titan cell,titan cell
POI,titan cell,soya kecil
POI,innovation factory,innovation factory
POI,green bay,green bay
POI,plamo garden,plamo garden
POI,asrama tni ad,asrama tni ad
POI,pt. rizki fadhilah,pt. rizki fadhilah
POI,palm spring regency,palm spring regency
POI,perumahan tanjung selamat lestari,perumahan tanjung selamat lestari
POI,bank bri,bank bri
POI,adyastha motor,adyastha motor
POI,adyastha motor,simpang patai
POI,gedung gramedia,gedung gramedia majalah
POI,gedung gramedia,toko noval dan sasa jaya sejahtera
POI,warung kopi pahlawan twin vape,warung kopi pahlawan twin vape
POI,komplek mitra krekot,komplek mitra krekot
POI,komplek mitra krekot,desa karang anyar
POI,komplek mitra krekot,ud idup bin teih
POI,komplek karya baru permai,komplek karya baru permai
POI,vihara maitri,vihara maitri
POI,gedung mnc financial center,gedung mnc financial center
POI,yes cafe dan cake,yes cafe dan cake
POI,aceh toys gallery,aceh toys gallery
POI,mysnooze.store,mysnooze.store
POI,ijul,ijul
POI,depot bakso solo & mie ayam sb barokah,depot bakso solo & mie ayam sb barokah
POI,multi aluminium,multi aluminium
POI,terminal siantan,terminal siantan
POI,qalesya salon,qalesya salon
POI,qalesya salon,ubin panah
POI,qalesya salon,toko ari
POI,reina shoes,reina shoes
POI,king foto,king foto
POI,bustanussalam kel.,bustanussalam kel.
POI,yoga tama cv,yoga tama cv
POI,kos wardoyo,kos wardoyo
POI,kos wardoyo,merta tegal genteng
POI,kos wardoyo,ubi cilembu magetan
POI,warga jaya pd,warga jaya pd
POI,mall rosok pak yono,mall rosok pak yono
POI,toko m sain,toko m sain
POI,terminal pakusari,terminal pakusari
POI,terminal pakusari,kantor badan pertanahan kutai timur
POI,jaya maspion permata,jaya maspion permata
POI,toko aki motor dan mobil arya 76,toko aki motor dan mobil arya 76
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,la beaute salon & waxing,la beaute salon & waxing
POI,terminal grogol,terminal grogol
POI,komplek polri cipinang atas,komplek polri cipinang atas
POI,komplek polri cipinang atas,sancu
POI,rizky salon,rizky salon
POI,rizky salon,pt haco lotim kantor cab dompu
POI,bb house,bb house
POI,bb house,mulya mart mf
POI,mamar sumarna,mamar sumarna
POI,mamar sumarna,kawaii
POI,warung kariami,warung kariami
POI,hard coffe,hard coffe
POI,hard coffe,bandar tinggi
POI,delta indo ud,delta indo ud
POI,graha aditya,graha aditya
POI,sea mitra,sea mitra
POI,saung piteuliheun,saung piteuliheun
POI,rusun cinta kasih tzu chi,rusun cinta kasih tzu chi
POI,stasiun sasaksaat,stasiun sasaksaat
POI,gedung silver,gedung silver
POI,gedung silver,rusun marunda 2
POI,gedung silver,demak ijo
POI,gedung silver,indogrosir amplas
POI,retro,retro
POI,rptra kampung indah lestari,rptra kampung indah lestari
POI,perum griya mukti,perum griya mukti
POI,dita tour travel,dita tour travel
POI,dita tour travel,klinik mahdarina
POI,dita tour travel,kantor desa
POI,rm rang tanjung,rm rang tanjung
POI,rm rang tanjung,sd negeri gadog 06
POI,hotel emersia,parak juar
POI,hotel emersia,gelis permatadaya
POI,hotel emersia,east meet west clinic
POI,ibu yayuk,palm spring regency
POI,ibu yayuk,sd negeri 5 gantung
POI,graha situsari permai,graha situsari permai
POI,elsa tour,elsa tour
POI,shinta,shinta
POI,damri kantor pemasaran,damri kantor pemasaran kebon kawung 20
POI,depo keramik,depo keramik
POI,depo keramik,toko medi
POI,permata mulia residence,kebun kopi
POI,adhe toko,adhe toko
POI,adhe toko,tanah merah
POI,dokter endra hari murti,dokter endra hari murti
POI,dokter endra hari murti,toko een
POI,dokter endra hari murti,ada espresso bar
POI,halte t.gading,halte t.gading
POI,yayasan sri asih pratama palasari,yayasan sri asih pratama
POI,kios yuyun,kios yuyun
POI,kios yuyun,hara abadi
POI,kios yuyun,cakwe mang trio
POI,somerset ice bread,somerset ice bread
POI,tiga jumpa. cv,tiga jumpa. cv
POI,eka cell,eka cell
POI,citra garden city,citra garden city
POI,salon lucky,salon lucky
POI,toko budi tani,toko budi tani
POI,perum dirgantara permai,perum dirgantara permai
POI,perum dirgantara permai,mamat stiker
POI,perum dirgantara permai,pt. nusa karya mandiri
POI,perum dirgantara permai,sungai tuha
POI,auto mobil,auto mobil
POI,terminal pasar minggu,terminal pasar minggu
POI,aks137 komarudin,komarudin
POI,taman motika,taman motika
POI,gardenia park,gardenia park
POI,pusat dum serius,pusat dum serius
POI,pusat dum serius,toko ma cell
POI,pusat dum serius,syafei
POI,mojopahit jok,mojopahit jok
POI,perumahan bamboo residence,perumahan bamboo
POI,rusun pulo gebang,rusun pulo gebang
POI,villa mutiara bintaro,villa mutiara bintaro
POI,perumahan puri saujana 2,perumahan puri saujana 2
POI,griya karya commuter jakarta,jakarta kota
POI,masjid nurus shobah,masjid nurus shobah
POI,alvin listrik,alvin listrik
POI,pelabuhan sungai duku,pelabuhan sungai duku
POI,pelabuhan sungai duku,bbm steak
POI,gedung philips baru,gedung philips baru
POI,gedung philips baru,akhmad maxi photography
POI,komplek puri citra,komplek puri citra
POI,warung jengkol,warung jengkol
POI,warung jengkol,sunter mall lt.2
POI,mie bledag,mie bledag
POI,medan baik,medan baik
POI,plaza uny,plaza uny
POI,perumahan bumi asri,perumahan bumi asri
POI,alfamart,alfamart
POI,alfamart,pasar margorejo
POI,alfamart,rm simpang raya
POI,toko kelontong,toko kelontong
POI,inaq ibuk,inaq ibuk
POI,alwamyeshop,alwamyeshop
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,bakso pak lek rensing,bakso pak lek rensing
POI,rumah makan citra selera,rumah makan citra selera
POI,griya sekawan mudal,griya sekawan
POI,inti sarana bima sakti pt,inti sarana bima sakti pt
POI,gedung medan pemuda,gedung medan pemuda
POI,kantor desa kalisongo,kantor desa kalisongo
POI,perumahan gerbang kencana,perumahan gerbang kencana
POI,perumahan gerbang kencana,rumah idaman-ku
POI,musholah albariyah,masjid al baidho
POI,toko hj. ros,toko hj. ros
POI,toko hj. ros,balai desa bageng
POI,taman cerdas pajang,taman cerdas pajang
POI,toko bom,toko bom
POI,stasiun labuhan ratu,stasiun labuhan ratu
POI,alun-alun purwakarta,alun-alun purwakarta
POI,os style hotel,putri hijau complex
POI,flyover pramuka,flyover pramuka
POI,green mansion,green mansion
POI,green mansion,km.05.kab.
POI,griya cemerlang,griya cemerlang
POI,za - seng,za - seng
POI,za - seng,pemimpin rakyat lahir dari rakyat
POI,agung raya toko,agung raya toko
POI,rubi toko,rubi toko
POI,rubi toko,pusat jubah saudi impor
POI,rubi toko,tuah tamita cv
POI,bung karno,bung karno
POI,bung karno,titis
POI,via net,via net
POI,warung makan bakso bagio,warung makan bakso bagio
POI,smart rack internasional,smart rack internasional
POI,ani,ani
POI,ani,jual rumah shm
POI,pt nuansa indah putri,pt nuansa indah putri
POI,pt nuansa indah putri,lapas paledang bogor kota
POI,belantik sapi agus,belantik sapi agus
POI,yumi laundry,yumi laundry
POI,kavling polri,kavling polri
POI,kavling polri,kjk pemk tebet barat
POI,terminal pasar senen,pasar senen
POI,lkp ilon,lkp ilon
POI,shop cell,shop cell
POI,spesialis cat mobil,spesialis cat mobil
POI,spesialis cat mobil,sd negeri gang aut
POI,tempatbiasa coffee,tempatbiasa coffee
POI,leonna,leonna
POI,leonna,es kelapa muda sak josse
POI,griya melati mas,griya melati mas
POI,griya melati mas,jembatan tinggi
POI,h a supriana,h a supriana
POI,h a supriana,ud madri pasar ulakan
POI,warung kopi c dan c,warung kopi c dan c
POI,dokter juice dan bakso mie ayam cjdw,dokter juice dan bakso mie ayam cjdw
POI,dokter juice dan bakso mie ayam cjdw,kubu baru
POI,dokter juice dan bakso mie ayam cjdw,maf (mission aviation fellowship) sentani
POI,dokter juice dan bakso mie ayam cjdw,taski petshop
POI,dokter juice dan bakso mie ayam cjdw,balai pertemuan
POI,21 cell,21 cell
POI,lia net,lia net
POI,kaitron interior & furniture,kaitron interior & furniture
POI,kaitron interior & furniture,nasi meong mas bung
POI,pak rizon,pak rizon
POI,air minum isi ulang sehat,air minum isi ulang sehat
POI,air minum isi ulang sehat,tni al
POI,air minum isi ulang sehat,fadlan jaya
POI,delima residence,delima residence
POI,"kec.kalidres,(taman baca edelweiss",taman baca edelweiss
POI,"kec.kalidres,(taman baca edelweiss",omah batik
POI,moza net,moza net
POI,stasiun lempuyangan,stasiun lempuyangan
POI,stasiun lempuyangan,warung jati
POI,toko wati,toko wati
POI,toko wati,pengadilan agama
POI,angkringan kang dodo,angkringan kang dodo
POI,sekretariat rw 04,sekretariat rw 04
POI,paradise resort,paradise resort
POI,paradise resort,depan kantor pos
POI,yumariati,yumariati
POI,paradise resort,paradise resort
POI,smp muhammadiyah,smp muhammadiyah
POI,masjid al mukmin,masjid al mukmin jatisari
POI,masjid al mukmin,focus
POI,palm spring regency,palm spring regency
POI,jays motor,jays motor
POI,alam barajo,alam barajo
POI,riza fashion,riza fashion
POI,sekolah global sevilla,pacuan kuda pulo mas
POI,kios dipa tani,kios dipa tani
POI,kios dipa tani,masjid jami' al-ukhuwwah
POI,kios dipa tani,hura pangkas
POI,ria cellular,ria cellular
POI,taman narogong indah,graha wahana
POI,taman narogong indah,mes 2 lion air
POI,taman narogong indah,sawah besar farma pt
POI,taman narogong indah,tambang ayam
POI,taman narogong indah,ekonomi
POI,taman narogong indah,irian swalayan
POI,kios toko,kios toko
POI,kios toko,kantor lurah
POI,green house,green house
POI,kebayoran villas,kebayoran villas
POI,alfamart,alfamart
POI,alfamart,taman nusa
POI,alfamart,lebah munte
POI,bujang,bujang
POI,ti phone,ti phone
POI,mega kencana toko,mega kencana toko
POI,masjid,masjid
POI,masjid,midi sj40 guru tua
POI,balai rupih,balai rupih
POI,balai rupih,depan lapang voli
POI,balai rupih,puskesmas karanganyar
POI,balai rupih,anjungan leok
POI,teluk nara,teluk nara
POI,mahad al-jamiah,kampus 2 uin walisongo
POI,jago aki oebobo,jago aki oebobo
POI,komplek suaka indah,komplek suaka indah
POI,ra at taubah,ra at taubah
POI,cluster bellagio,cluster bellagio
POI,siantana pratama makmur pt,siantana pratama makmur pt
POI,pertigaan kampung baru,rumah makan bareh solok
POI,kb paud mutiara bunda,kb paud mutiara bunda
POI,mie baso mas julin,mie baso mas julin
POI,perum bumi gemilang,perum bumi gemilang
POI,perum bumi gemilang,toko jam citra
POI,perum bumi gemilang,jati bar
POI,toko ic phone,toko ic phone
POI,komplek dki joglo,komplek dki joglo
POI,komplek dki joglo,jne agen raihan
POI,grand serpong 2,grand serpong 2
POI,bandar tinggi,bandar tinggi
POI,toko pinokio,toko pinokio
POI,pasar pspt,pasar pspt
POI,surya mandiri aluminium dan kaca,surya mandiri aluminium dan kaca
POI,mesjid anur,tanah lapang merdeka binjai
POI,steak,juragan steak
POI,ponpes tarbiyatul ulum,ponpes tarbiyatul ulum
POI,dodol petshop sempidi,dodol petshop sempidi
POI,alun-alun karawang,alun-alun karawang
POI,karimah,karimah
POI,perum marco duta,perum marco duta
POI,warteg ibu iyus,warteg ibu iyus
POI,bagas motor,bagas motor
POI,kampus trilogi,kampus trilogi
POI,lukman,lukman
POI,tb. resti jaya,tb. resti jaya
POI,tb. resti jaya,cucian malio dewi
POI,stasiun tanjung barat,stasiun tanjung barat
POI,stasiun tanjung barat,ud. opi hendriyani
POI,perumahan taman wira,perumahan taman wira
POI,my card & souvenir manado,my card & souvenir manado
POI,my card & souvenir manado,lebah munte
POI,condet kaca,condet kaca
POI,ayola vihan suites,ayola vihan suites
POI,optik media,optik media
POI,optik media,mts swasta salafiyah syafi iyyah
POI,grand palais,grand palais
POI,grand palais,sorowako karate club
POI,cellonet saga,cellonet saga
POI,ruko city walk,ruko city walk
POI,medan baik,medan baik
POI,asrama pusdikzi,asrama pusdikzi
POI,warung bongkok,warung bongkok
POI,warung bongkok,fikry toko
POI,warung bongkok,warung yes
POI,warung bongkok,sd negeri cilogog
POI,yuli salon,yuli salon
POI,yuli salon,president mebel
POI,asrama tni ad,asrama tni ad
POI,sd negeri 1 tinduk,sd negeri 1 tinduk
POI,cluster royal london,cluster royal london
POI,cluster royal london,sunter jaya
POI,cluster royal london,puji astuti
POI,cluster royal london,warung om mus ubcg
POI,apotek meliana,apotek meliana
POI,warung mbak,situ pondok jagung
POI,warung mbak,toko novi
POI,burung bumi,burung bumi
POI,the saparua envygreen,the saparua
POI,grand centro,grand centro
POI,breadlife,breadlife
POI,saung mie ayam olala,saung mie ayam olala
POI,saung mie ayam olala,jembatan citarum
POI,saung mie ayam olala,pondok duta 1
POI,saung mie ayam olala,haji pemanggilan
POI,saung mie ayam olala,pondok pesantren al bar
POI,bank ocbc nisp,bank ocbc nisp
POI,terminal indihiang tive,terminal indihiang
POI,ud. siti nurhayati,ud. siti nurhayati
POI,yuni collection,yuni collection
POI,daeni,daeni
POI,pantai thr,pantai thr papadaan
POI,toko bu ambar,toko bu ambar
POI,toko bu ambar,cose artisan gelato and coffee
POI,siantan jaya,siantan jaya
POI,retno,retno
POI,retno,pt sumanindo grahawisata
POI,retno,pancoran barat
POI,pt. delameta bilano,pt. delameta bilano
POI,pt. delameta bilano,angkringan ala jambi
POI,pt. delameta bilano,pt. serdang hulu
POI,pt. delameta bilano,pt kaleia berk
POI,liza farma,liza farma
POI,liza farma,toko humam
POI,lileue new istana,new istana
POI,scoop,scoop
POI,gedung mayang arum,gedung mayang arum
POI,saung geulis hotel,saung geulis hotel
POI,griya pijat asa,griya pijat asa
POI,griya pijat asa,tikal intra-muros. cv
POI,sm shop bali,sm shop bali
POI,pratama motor,pratama motor
POI,toko ika jaya,toko ika jaya
POI,toko ika jaya,sedap jaya
POI,mie ayam,mie ayam
POI,mie ayam,sd negeri tepus i tepus
POI,mie ayam,gondang
POI,stasiun ciganea,stasiun ciganea
POI,balai rupih,balai rupih
POI,sentral bulukumba,sentral bulukumba
POI,tokoherman,tokoherman
POI,pt adhi karya,pt adhi karya
POI,balai rupih,balai rupih
POI,edwin bika ambon,edwin bika ambon
POI,terminal cafe,terminal cafe
POI,terminal cafe,agus jaya plat
POI,terminal cafe,jolly good english enrichment
POI,stasiun kroya,stasiun kroya
POI,tk islam al hikmah,tk islam al hikmah
POI,tk islam al hikmah,fatma toko
POI,griya madani,griya madani
POI,simpang hasanudin,simpang hasanudin
POI,sharana medika utama,sharana medika utama
POI,rumah susun,rumah susun
POI,warung kembar,warung kembar
POI,toko hamdalah oli,toko hamdalah oli
POI,toko hamdalah oli,mercy duta phone
POI,paud cibitung,paud cibitung
POI,kantor pengacara husin,kantor pengacara husin
POI,ud surya gemilang,ud surya gemilang
POI,matahari galeri yogya,matahari galeri yogya
POI,lisa,lisa
POI,lisa,pasar viii
POI,lestari residence,lestari residence
POI,andin sostel,andin sostel
POI,snack point,snack point
POI,snack point,soto lamongan resep mertua
POI,the body shop,the body shop
POI,masjid al-wildan,masjid al-wildan
POI,masjid al-wildan,kantor pemasaran
POI,lebak jero,lebak jero
POI,tama cell,tama cell
POI,tama cell,rawa panjang
POI,rumah makan tiga gadis,rumah makan tiga gadis
POI,wisma sriwijaya,wisma sriwijaya
POI,paradise resort,paradise resort
POI,cafe nusantara,cafe nusantara
POI,juara sport toko,juara sport toko
POI,toko kue al-rusdak,toko kue al-rusdak
POI,stasiun ngadiluwih,stasiun ngadiluwih
POI,putra moro indah 1,putra moro indah
POI,prodia tower,prodia tower
POI,prodia tower,wm steak omah chrispy
POI,waroeng steak resto and cafe,waroeng steak resto and cafe
POI,perumahan bayur sarana indah,perumahan bayur sarana indah
POI,mis nurul falah,mis nurul falah
POI,mis nurul falah,pasar sunan giri
POI,mitra bukalapak warung rakha,mitra bukalapak warung rakha
POI,mandiri mitra usaha,mandiri mitra usaha
POI,mitra tani,mitra tani
POI,universitas brawijaya,universitas brawijaya
POI,universitas brawijaya,pusat oleh- oleh bakpia 750
POI,billy barbershop,billy barbershop
POI,cimb niaga,cimb niaga
POI,kp cisasah bl,kp cisasah bl
POI,servis mobil,servis mobil
POI,servis mobil,kios ngadinah
POI,cell,k2 cell
POI,paradise resort,paradise resort
POI,madrasah ibtidaiyah swasta,madrasah ibtidaiyah swasta
POI,alun-alun raha,alun-alun raha
POI,sanggar  de batavia,sanggar  de batavia
POI,sanggar  de batavia,ubud backpackers room
POI,rusunawa pesakih,rusunawa pesakih
POI,tpu lanobake,tpu lanobake
POI,bintang mebel,bintang mebel
POI,bintang mebel,pia
POI,bakso dan mie ayam borneo,bakso dan mie ayam borneo
POI,cafe mao,sasak perot
POI,bakso dan mie ayam ariij,bakso dan mie ayam ariij
POI,perumahan wahana,perumahan wahana
POI,perumahan graha tya 2,perumahan graha tya 2
POI,pt asuransi jiwa seraya,pt asuransi jiwa seraya
POI,bubur sop ayam mang idit,bubur sop ayam mang idit
POI,bubur sop ayam mang idit,kantor ulin nuha
POI,toko buku pagar alam,toko buku pagar alam
POI,terminal mojoagung,terminal mojoagung
POI,perum griya kencana,perum griya kencana
POI,nf fashionshop jogja,nf fashionshop jogja
POI,nf fashionshop jogja,pt. perusahaan industri ceres
POI,toko alvin,toko alvin
POI,sri ratu,sri ratu
POI,jaya imperial park,jaya imperial park
POI,toko batubara ii,toko batubara ii
POI,toko batubara ii,bells computer
POI,semeru residence,semeru residence
POI,semeru residence,brawa
POI,semeru residence,deli surya jaya
POI,yayasan kalla,yayasan kalla
POI,atherry auto dan body care,atherry auto dan body care
POI,jembatan liong,jembatan liong
POI,gedung sport club victoria park residence,gedung sport club
POI,gedung sport club victoria park residence,hj. ratmi
POI,rejeki aki,rejeki aki
POI,musi rawas,sumber harta
POI,zazil fashion,zazil fashion
POI,zazil fashion,ma swasta fathurrobbaaniy
POI,toko baju alvin,toko baju alvin
POI,asrama mahasiswa ui,asrama mahasiswa ui
POI,a.j. central asia raya. pt,a.j. central asia raya. pt
POI,aan waroeng and caffe,aan waroeng and caffe
POI,aan waroeng and caffe,cibis tower 9
POI,toko hasty,toko hasty
POI,toko warna sari,toko warna sari
POI,surya jaya motor,surya jaya motor
POI,surya jaya motor,pesona tirta
POI,surya jaya motor,exchel
POI,innovation factory,innovation factory
POI,innovation factory,meubel dahan indah
POI,green lovina residence,green lovina residence
POI,warung makan bu yenny,warung makan bu yenny
POI,jembatan gantung danawarih,jembatan gantung danawarih
POI,green bay,green bay
POI,kebab slamet,kebab slamet
POI,musholla al barakah warna,kampung mangga
POI,cv family auto,cv family auto
POI,cv family auto,denokan
POI,lubuk rukam,lubuk rukam
POI,perumahan jaya permai,perumahan jaya permai
POI,toko subur tani,toko subur tani
POI,rabiyem,rabiyem
