entity,predict,output
POI,stmj durenan,stmj durenan
POI,asrama mahasiswa ui,asrama mahasiswa ui
POI,stock house,stock house
POI,himajaya,himajaya
POI,perumahan wahana,perumahan wahana
POI,warung kopi bang gendut,warung kopi bang gendut
POI,indopalm perkasa,indopalm perkasa
POI,pelabuhan desa humusu wini,pelabuhan wini
POI,smp negeri 4 sumberasih,smp negeri 4 sumberasih
POI,kedai chili padi,kedai chili padi
POI,toko nayla,toko nayla
POI,graha prima baru,graha prima baru
POI,toko abid jaya,toko abid jaya
POI,mis al amin,mis al amin
POI,r3d's sport,r3d's sport
POI,toko jok mul,toko jok mul
POI,best meat,best meat
POI,lippo cyber park,lippo cyber park
POI,mal cijantung,mal cijantung
POI,tahu tek 1001 night,tahu tek 1001 night
POI,komplek purinusa karawaci,komplek purinusa
POI,kp kebon kopi,kp kebon kopi
POI,griya salsabila permai,griya salsabila permai
POI,kedai es kelapa the kokos,kedai es kelapa the kokos
POI,santos pertama pt,santos pertama pt
POI,dki,dki
POI,jogja jaya furniture,jogja jaya furniture
POI,skater putri,skater
POI,perum buana imp,tb timur baru
POI,seberang guest house,bumi hijau
POI,griya yuni hijab,griya yuni hijab
POI,slamet,slamet riyadi
POI,wisata bukit mas,du lyon
POI,bakmi jogja pak sumeh,bakmi jogja pak sumeh
POI,terminal krian,terminal krian
POI,tower emerald,tower emerald
POI,perumahan jaya permai,perumahan jaya permai
POI,rohis,rohis
POI,nasi krawu bu lilik,nasi krawu bu lilik
POI,toko batik mamat jafar,toko batik mamat jafar
POI,karya bersama,kolong tol benglap kodam
POI,taman 5 ulu,taman 5 ulu
POI,pangkas rambut athirah,pangkas rambut athirah
POI,toko eni,toko eni
POI,pangkas rambut alfin nugraha,pangkas rambut alfin nugraha
POI,es teler 77-tsc,es teler 77-tsc
POI,waroenk nina,waroenk nina
POI,graha sampurna,graha sampurna
POI,dinas pertambangan & tenaga,dinas pertambangan & tenaga kerja
POI,wisata semanggi,wisata semanggi
POI,padang halaban,padang halaban
POI,utama.delta silikon 1,delta silikon 1
POI,rizal,rizal
POI,toko muhammad semayap,toko muhammad
POI,perum griya dinar,perum griya dinar
POI,bright,bright
POI,poris plawad,poris plawad
POI,perumahan bayur sarana indah,perumahan bayur sarana indah
POI,factory,mokko factory
POI,toko kaca,toko kaca
POI,kantor desa tandan,kantor desa
POI,alfamart,alfamart
POI,kebab super boo,kebab super boo
POI,harco,harco
POI,klinik zihad insani,klinik zihad insani
POI,pt. colombus,pt. colombus
POI,commercial area,"commercial area, ruko buah batu"
POI,aj sport,aj sport
POI,lapangan merdeka,lapangan merdeka bintuhan
POI,lotek mbok las,lotek mbok las
POI,dhifa audio,dhifa audio
POI,inten toko,inten toko
POI,family tour,family tour
POI,pemakaman cupak,pemakaman cupak
POI,lucky watch,lucky watch
POI,house of pastri and cakes,house of pastri and cakes
POI,smp pgri 32,smp pgri 32
POI,diya motor,diya motor
POI,pipit one,pipit one
POI,kalimulyo kel.,kalimulyo kel.
POI,margo suko group pt,margo suko group pt
POI,mitra bakery,mitra bakery
POI,smks sm tsjafioeddin singkawang,smks sm tsjafioeddin singkawang
POI,kedai mie kdl,kedai mie kdl
POI,ayuki cell,ayuki cell
POI,yesa juice,yesa juice
POI,teras country residence,teras country residence
POI,green garden,ters citra green garden
POI,isi ulang apar cikande,isi ulang apar cikande
POI,spbu bulu,spbu bulu
POI,toko widayat,toko widayat
POI,gandaria pekayon,gandaria pekayon
POI,tirtamulya,tirtamulya
POI,isnaini,isnaini
POI,perumahan graha bumi ayu,perumahan graha
POI,dokter andra,dokter andra
POI,bank bii pt,bank bii pt
POI,griya sehat fitri,griya sehat fitri
POI,zaza laundry,zaza laundry
POI,konco lama,konco lama
POI,alfamart,alfamart
POI,reklame dan percetakan fajar,reklame dan percetakan fajar
POI,xi chandra,chandra dimuka
POI,asrama tni ad,asrama tni ad
POI,jembatan ampera,jembatan ampera
POI,caramello waxing,caramello waxing
POI,gerbang permai,gerbang permai
POI,bank jabar banten,bank jabar banten
POI,perum bumi anugerah,perum bumi anugerah
POI,toko karunia,toko karunia
POI,masjid nurul huda,masjid nurul huda
POI,alfamart,alfamart
POI,aneka jaya auto mobil,aneka jaya auto mobil
POI,gadjian.com,gadjian.com
POI,masjid al ikhlas,kebun raya cibodas
POI,lestari residence,lestari residence
POI,tower sakura,tower sakura
POI,pasar rumput,pasar rumput
POI,toko apollo,toko apollo
POI,ptp link,ptp link
POI,ipah toko,ipah toko
POI,perum dirgantara permai,perum dirgantara permai
POI,sekata puskesmas,puskesmas sei mencirim
POI,ayam gepuk,ayam gepuk
POI,aneka stationary,aneka stationary
POI,happy barber shop,happy barber shop
POI,emon salon,emon salon
POI,supriyanto,supriyanto
POI,rusun cakung km2,rusun cakung km2
POI,jatnika motor oil,jatnika motor oil
POI,indo mart,indo mart
POI,pasar eromoko,kios pasar
POI,kavling polri,kavling polri
POI,gopala tour,gopala tour
POI,barokah. cv,barokah. cv
POI,habitat terrace residence,habitat terrace residence
POI,karrang kebun,kebun raya massenrempulu enrekang
POI,fadil,fadil
POI,smp sw. htkp sidikalang,smp sw. htkp sidikalang
POI,bengkel motor,bengkel motor
POI,warung nasi uduk betawi po tiwi,warung nasi uduk betawi po tiwi
POI,moshi moshi ramen,moshi moshi ramen
POI,toko desro,toko desro
POI,solihin,solihin
POI,bubur ayam bontot,bubur ayam bontot
POI,bakso pak kardi,bakso pak kardi
POI,toko janta b,toko janta b
POI,putra mataram,putra mataram
POI,traffic digital,traffic digital
POI,busway jatipadang,jati padang
POI,toko sembako udin,toko sembako udin
POI,apotek solo,apotek solo
POI,axa mandiri insurance,axa mandiri insurance
POI,riama,riama
POI,sopo del tower,sopo del tower
POI,mie ba',mie ba' kamp. jawa
POI,jembatan gantung,jembatan gantung
POI,jembatan kalawi,jembatan kalawi
POI,kost furia,kost furia jalur 6
POI,inten,inten
POI,sri ratu,sri ratu
POI,pt silva,pt silva
POI,megu cilik cv danar pratama,cv danar pratama
POI,taman deo,taman deo sorong
POI,padang halaban,padang halaban
POI,mulia minang,mulia minang
POI,toko susu rossy kids,toko susu rossy kids
POI,toko muri,toko muri
POI,coffee garden,coffee garden
POI,titan cell,titan cell
POI,soya kecil,soya kecil
POI,innovation factory,innovation factory
POI,green bay,green bay
POI,plamo garden,plamo garden
POI,asrama tni ad,asrama tni ad
POI,pt. rizki fadhilah,pt. rizki fadhilah
POI,palm spring regency,palm spring regency
POI,perumahan tanjung selamat lestari,perumahan tanjung selamat lestari
POI,bank bri,bank bri
POI,adyastha motor,adyastha motor
POI,lapau jo kudun,simpang patai
POI,gedung gramedia majalah,gedung gramedia majalah
POI,toko noval dan sasa jaya sejahtera,toko noval dan sasa jaya sejahtera
POI,warung kopi pahlawan twin vape,warung kopi pahlawan twin vape
POI,komplek mitra krekot,komplek mitra krekot
POI,ud idup bin,ud idup bin teih
POI,komplek karya baru permai,komplek karya baru permai
POI,vihara maitri,vihara maitri
POI,gedung mnc financial center,gedung mnc financial center
POI,yes cafe dan cake,yes cafe dan cake
POI,aceh toys gallery,aceh toys gallery
POI,mysnooze.store,mysnooze.store
POI,ijul,ijul
POI,depot bakso solo & mie ayam sb barokah,depot bakso solo & mie ayam sb barokah
POI,multi aluminium,multi aluminium
POI,terminal siantan,terminal siantan
POI,qalesya salon,qalesya salon
POI,ubin panah,ubin panah
POI,toko ari,toko ari
POI,reina shoes,reina shoes
POI,king foto,king foto
POI,bustanussalam kel.,bustanussalam kel.
POI,yoga tama cv,yoga tama cv
POI,kos wardoyo,kos wardoyo
POI,merta tegal genteng,merta tegal genteng
POI,ubi cilembu magetan,ubi cilembu magetan
POI,warga jaya pd,warga jaya pd
POI,mall rosok pak yono,mall rosok pak yono
POI,toko m sain,toko m sain
POI,terminal pakusari,terminal pakusari
POI,alah air,kantor badan pertanahan kutai timur
POI,jaya maspion permata,jaya maspion permata
POI,toko aki motor dan mobil arya 76,toko aki motor dan mobil arya 76
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,la beaute salon & waxing,la beaute salon & waxing
POI,terminal grogol,terminal grogol
POI,komplek polri cipinang atas,komplek polri cipinang atas
POI,sancu,sancu
POI,rizky salon,rizky salon
POI,pt haco lotim kantor cab dompu,pt haco lotim kantor cab dompu
POI,bb house,bb house
POI,mulya mart mf,mulya mart mf
POI,mamar sumarna,mamar sumarna
POI,kawaii,kawaii
POI,warung kariami,warung kariami
POI,hard coffe,hard coffe
POI,bandar tinggi,bandar tinggi
POI,delta indo ud,delta indo ud
POI,graha aditya,graha aditya
POI,sea mitra,sea mitra
POI,saung piteuliheun,saung piteuliheun
POI,rusun cinta kasih tzu chi,rusun cinta kasih tzu chi
POI,stasiun sasaksaat,stasiun sasaksaat
POI,gedung silver,gedung silver
POI,rusun marunda 2,rusun marunda 2
POI,demak ijo,demak ijo
POI,indogrosir amplas,indogrosir amplas
POI,utan kayu utara retro,retro
POI,rptra kampung indah lestari,rptra kampung indah lestari
POI,perum griya mukti,perum griya mukti
POI,dita tour travel,dita tour travel
POI,klinik mahdarina,klinik mahdarina
POI,kantor desa sipare,kantor desa
POI,rm rang tanjung,rm rang tanjung
POI,sd negeri gadog 06,sd negeri gadog 06
POI,pecel lele mas gi,parak juar
POI,east meet west clinic,east meet west clinic
POI,ibu yayuk,palm spring regency
POI,palm spring regency,palm spring regency
POI,sd negeri 5 gantung,sd negeri 5 gantung
POI,graha situsari permai,graha situsari permai
POI,elsa tour,elsa tour
POI,shinta,shinta
POI,damri kantor pemasaran,damri kantor pemasaran kebon kawung 20
POI,depo keramik,depo keramik
POI,toko medi,toko medi
POI,permata mulia residence,kebun kopi
POI,adhe toko,adhe toko
POI,tanah merah,tanah merah
POI,dokter endra hari murti,dokter endra hari murti
POI,toko een,toko een
POI,ada espresso bar,ada espresso bar
POI,halte t.gading,halte t.gading
POI,yayasan sri asih,yayasan sri asih pratama
POI,kios yuyun,kios yuyun
POI,hara abadi,hara abadi
POI,mang trio,cakwe mang trio
POI,somerset ice bread,somerset ice bread
POI,tiga jumpa. cv,tiga jumpa. cv
POI,eka cell,eka cell
POI,citra garden city,citra garden city
POI,salon lucky,salon lucky
POI,toko budi tani,toko budi tani
POI,perum dirgantara permai,perum dirgantara permai
POI,mamat stiker kecubung,mamat stiker
POI,pt. nusa karya mandiri,pt. nusa karya mandiri
POI,sungai tuha kemang,sungai tuha
POI,auto mobil,auto mobil
POI,terminal pasar minggu,terminal pasar minggu
POI,komarudin,komarudin
POI,taman motika,taman motika
POI,gardenia park,gardenia park
POI,pusat dum serius,pusat dum serius
POI,toko ma cell,toko ma cell
POI,syafei,syafei
POI,mojopahit jok,mojopahit jok
POI,perumahan bamboo residence,perumahan bamboo
POI,rusun pulo gebang,rusun pulo gebang
POI,villa mutiara bintaro,villa mutiara bintaro
POI,perumahan puri saujana 2,perumahan puri saujana 2
POI,griya karya commuter,jakarta kota
POI,masjid nurus shobah,masjid nurus shobah
POI,alvin listrik,alvin listrik
POI,pelabuhan sungai duku,pelabuhan sungai duku
POI,bbm steak,bbm steak
POI,gedung philips baru,gedung philips baru
POI,akhmad maxi photography,akhmad maxi photography
POI,komplek puri citra,komplek puri citra
POI,warung jengkol,warung jengkol
POI,sunter agung sunter,sunter mall lt.2
POI,mie bledag,mie bledag
POI,medan baik,medan baik
POI,-klinik terapi masase cedera olahraga-,plaza uny
POI,plaza uny,plaza uny
POI,perumahan bumi asri,perumahan bumi asri
POI,alfamart,alfamart
POI,mulyojati pasar margorejo,pasar margorejo
POI,rm simpang raya,rm simpang raya
POI,toko kelontong,toko kelontong
POI,inaq ibuk,inaq ibuk
POI,alwamyeshop,alwamyeshop
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,bakso pak lek rensing,bakso pak lek rensing
POI,rumah makan citra selera,rumah makan citra selera
POI,griya sekawan mudal,griya sekawan
POI,inti sarana bima sakti pt,inti sarana bima sakti pt
POI,pt . petrogas wira jatim,gedung medan pemuda
POI,gedung medan pemuda,gedung medan pemuda
POI,kantor desa kalisongo,kantor desa kalisongo
POI,perumahan gerbang kencana,perumahan gerbang kencana
POI,rumah idaman-ku,rumah idaman-ku
POI,ln masjid al baidho raya,masjid al baidho
POI,toko hj. ros,toko hj. ros
POI,balai desa bageng,balai desa bageng
POI,taman cerdas pajang,taman cerdas pajang
POI,toko bom,toko bom
POI,stasiun labuhan ratu,stasiun labuhan ratu
POI,alun-alun purwakarta,alun-alun purwakarta
POI,os style hotel,putri hijau complex
POI,flyover pramuka,flyover pramuka
POI,green pearl 3,green mansion
POI,pelem km.05.kab.,km.05.kab.
POI,griya cemerlang,griya cemerlang
POI,za - seng,za - seng
POI,pemimpin rakyat lahir dari rakyat,pemimpin rakyat lahir dari rakyat
POI,agung raya toko,agung raya toko
POI,rubi toko,rubi toko
POI,pusat jubah saudi impor,pusat jubah saudi impor
POI,tuah tamita cv,tuah tamita cv
POI,bung karno,bung karno
POI,titis,titis
POI,via net,via net
POI,warung makan bakso bagio,warung makan bakso bagio
POI,smart rack internasional,smart rack internasional
POI,ani,ani
POI,jual rumah shm,jual rumah shm
POI,pt nuansa indah putri,pt nuansa indah putri
POI,lapas,lapas paledang bogor kota
POI,belantik sapi agus,belantik sapi agus
POI,yumi laundry,yumi laundry
POI,kavling polri,kavling polri
POI,kjk,kjk pemk tebet barat
POI,terminal pasar senen,pasar senen
POI,lkp ilon,lkp ilon
POI,shop cell,shop cell
POI,spesialis cat mobil,spesialis cat mobil
POI,sd negeri gang aut,sd negeri gang aut
POI,tempatbiasa coffee,tempatbiasa coffee
POI,leonna,leonna
POI,es kelapa muda sak josse,es kelapa muda sak josse
POI,griya melati mas,griya melati mas
POI,jembatan tinggi tpar,jembatan tinggi
POI,h a supriana,h a supriana
POI,ud madri pasar ulakan,ud madri pasar ulakan
POI,warung kopi c dan c,warung kopi c dan c
POI,dokter juice dan bakso mie ayam cjdw,dokter juice dan bakso mie ayam cjdw
POI,maf (mission aviation fellowship) sentani,maf (mission aviation fellowship) sentani
POI,taski petshop,taski petshop
POI,balai pertemuan cijujung,balai pertemuan
POI,21 cell,21 cell
POI,lia net,lia net
POI,kaitron interior & furniture,kaitron interior & furniture
POI,nasi meong mas,nasi meong mas bung
POI,pak rizon,pak rizon
POI,air minum isi ulang sehat,air minum isi ulang sehat
POI,rusunawa tni al,tni al
POI,fadlan jaya,fadlan jaya
POI,delima residence,delima residence
POI,baca edelweiss,taman baca edelweiss
POI,omah batik pb. sudirman,omah batik
POI,moza net,moza net
POI,stasiun lempuyangan,stasiun lempuyangan
POI,warung jati,warung jati
POI,toko wati,toko wati
POI,pengadilan agama,pengadilan agama
POI,angkringan kang dodo,angkringan kang dodo
POI,sekretariat rw 04,sekretariat rw 04
POI,paradise resort,paradise resort
POI,kantor pos,depan kantor pos
POI,yumariati,yumariati
POI,paradise resort,paradise resort
POI,smp muhammadiyah,smp muhammadiyah
POI,masjid al mukmin,masjid al mukmin jatisari
POI,focus,focus
POI,palm spring regency,palm spring regency
POI,jays motor,jays motor
POI,alam barajo,alam barajo
POI,riza fashion,riza fashion
POI,pacuan kuda pulo mas,pacuan kuda pulo mas
POI,kios dipa tani,kios dipa tani
POI,masjid jami' al-ukhuwwah,masjid jami' al-ukhuwwah
POI,hura pangkas,hura pangkas
POI,ria cellular,ria cellular
POI,taman narogong indah,graha wahana
POI,mes 2 lion,mes 2 lion air
POI,sawah besar farma pt,sawah besar farma pt
POI,ekonomi,ekonomi
POI,marelan 8,irian swalayan
POI,depan irian swalayan,irian swalayan
POI,kios toko,kios toko
POI,kantor lurah,kantor lurah
POI,green house,green house
POI,kebayoran villas,kebayoran villas
POI,alfamart,alfamart
POI,pt. taman nusa,taman nusa
POI,lebah munte,lebah munte
POI,bujang,bujang
POI,ti phone,ti phone
POI,mega kencana toko,mega kencana toko
POI,masjid,masjid
POI,midi sj40 guru tua,midi sj40 guru tua
POI,balai rupih,balai rupih
POI,depan lapang voli,depan lapang voli
POI,puskesmas karanganyar,puskesmas karanganyar
POI,anjungan leok,anjungan leok
POI,teluk nara,teluk nara
POI,"mahad al-jamiah walisongo, kampus 2 uin walisongo",kampus 2 uin walisongo
POI,jago aki oebobo,jago aki oebobo
POI,komplek suaka indah,komplek suaka indah
POI,ra at taubah,ra at taubah
POI,cluster bellagio,cluster bellagio
POI,siantana pratama makmur pt,siantana pratama makmur pt
POI,pertigaan kampung baru,rumah makan bareh solok
POI,kb paud mutiara bunda,kb paud mutiara bunda
POI,mie baso mas julin,mie baso mas julin
POI,perum bumi gemilang,perum bumi gemilang
POI,toko jam citra,toko jam citra
POI,jati bar,jati bar
POI,toko ic phone,toko ic phone
POI,komplek dki joglo,komplek dki joglo
POI,jne agen raihan,jne agen raihan
POI,grand serpong 2,grand serpong 2
POI,bandar tinggi,bandar tinggi
POI,toko pinokio,toko pinokio
POI,pasar pspt,pasar pspt
POI,surya mandiri aluminium dan kaca,surya mandiri aluminium dan kaca
POI,tanah lapang merdeka binjai,tanah lapang merdeka binjai
POI,juragan steak,juragan steak
POI,ponpes tarbiyatul ulum,ponpes tarbiyatul ulum
POI,dodol petshop sempidi,dodol petshop sempidi
POI,alun-alun karawang,alun-alun karawang
POI,karimah,karimah
POI,perum marco duta,perum marco duta
POI,warteg ibu iyus,warteg ibu iyus
POI,bagas motor,bagas motor
POI,resepsionis kampus trilogi,kampus trilogi
POI,lukman,lukman
POI,tb. resti jaya,tb. resti jaya
POI,cucian malio dewi,cucian malio dewi
POI,stasiun tanjung barat,stasiun tanjung barat
POI,ud. opi hendriyani,ud. opi hendriyani
POI,perumahan taman wira,perumahan taman wira
POI,bumi nyiur,my card & souvenir manado
POI,lebah munte,lebah munte
POI,condet kaca,condet kaca
POI,vihan suites,ayola vihan suites
POI,optik media,optik media
POI,mts swasta salafiyah syafi iyyah,mts swasta salafiyah syafi iyyah
POI,grand palais,grand palais
POI,sorowako karate club,sorowako karate club
POI,cellonet saga,cellonet saga
POI,ruko city walk,ruko city walk
POI,medan baik,medan baik
POI,sertu dedy hidayat,asrama pusdikzi
POI,warung bongkok,warung bongkok
POI,fikry toko,fikry toko
POI,warung yes,warung yes
POI,sd negeri cilogog,sd negeri cilogog
POI,yuli salon,yuli salon
POI,president mebel,president mebel
POI,asrama tni ad,asrama tni ad
POI,sd negeri 1 tinduk,sd negeri 1 tinduk
POI,cluster royal london,cluster royal london
POI,sunter jaya,sunter jaya
POI,astuti,puji astuti
POI,warung om mus ubcg,warung om mus ubcg
POI,apotek meliana,apotek meliana
POI,situ pondok jagung,situ pondok jagung
POI,toko novi,toko novi
POI,burung bumi,burung bumi
POI,the saparua,the saparua
POI,grand centro,grand centro
POI,breadlife,breadlife
POI,saung mie ayam olala,saung mie ayam olala
POI,jembatan citarum dayeuh,jembatan citarum
POI,pondok duta 1,pondok duta 1
POI,haji pemanggilan,haji pemanggilan
POI,pondok pesantren al bar,pondok pesantren al bar
POI,bank ocbc nisp,bank ocbc nisp
POI,terminal indihiang tive,terminal indihiang
POI,ud. siti nurhayati,ud. siti nurhayati
POI,yuni collection,yuni collection
POI,daeni,daeni
POI,pantai thr,pantai thr papadaan
POI,toko bu ambar,toko bu ambar
POI,gelato and coffee,cose artisan gelato and coffee
POI,siantan jaya,siantan jaya
POI,retno,retno
POI,pt sumanindo grahawisata,pt sumanindo grahawisata
POI,x1h,pancoran barat
POI,pt. delameta bilano,pt. delameta bilano
POI,angkringan ala jambi,angkringan ala jambi
POI,pt. serdang hulu,pt. serdang hulu
POI,pt kaleia berk,pt kaleia berk
POI,liza farma,liza farma
POI,toko humam,toko humam
POI,new istana,new istana
POI,scoop,scoop
POI,gedung mayang arum,gedung mayang arum
POI,saung geulis hotel,saung geulis hotel
POI,griya pijat asa,griya pijat asa
POI,tikal intra-muros. cv,tikal intra-muros. cv
POI,sm shop bali,sm shop bali
POI,pratama motor,pratama motor
POI,toko ika jaya,toko ika jaya
POI,sedap jaya,sedap jaya
POI,mie ayam,mie ayam
POI,sd negeri tepus i tepus,sd negeri tepus i tepus
POI,stasiun ciganea,stasiun ciganea
POI,balai rupih,balai rupih
POI,sentral bulukumba,sentral bulukumba
POI,madyo puro tokoherman,tokoherman
POI,pt adhi karya,pt adhi karya
POI,balai rupih,balai rupih
POI,edwin bika ambon,edwin bika ambon
POI,terminal cafe,terminal cafe
POI,agus jaya plat,agus jaya plat
POI,jolly good english enrichment,jolly good english enrichment
POI,stasiun kroya,stasiun kroya
POI,tk islam al hikmah,tk islam al hikmah
POI,fatma toko,fatma toko
POI,griya madani,griya madani
POI,simpang hasanudin,simpang hasanudin
POI,sharana medika utama,sharana medika utama
POI,rumah susun,rumah susun
POI,warung kembar,warung kembar
POI,toko hamdalah oli,toko hamdalah oli
POI,mercy duta phone,mercy duta phone
POI,paud cibitung,paud cibitung
POI,kantor pengacara husin,kantor pengacara husin
POI,ud surya gemilang,ud surya gemilang
POI,matahari galeri yogya,matahari galeri yogya
POI,lisa,lisa
POI,pasar viii raha,pasar viii
POI,lestari residence,lestari residence
POI,andin sostel,andin sostel
POI,snack point,snack point
POI,soto lamongan resep mertua,soto lamongan resep mertua
POI,the body shop,the body shop
POI,masjid al-wildan,masjid al-wildan
POI,kantor pemasaran,kantor pemasaran
POI,lebak jero,lebak jero
POI,tama cell,tama cell
POI,rawa panjang,rawa panjang
POI,rumah makan tiga gadis,rumah makan tiga gadis
POI,wisma sriwijaya,wisma sriwijaya
POI,paradise resort,paradise resort
POI,cafe nusantara,cafe nusantara
POI,juara sport toko,juara sport toko
POI,toko kue al-rusdak,toko kue al-rusdak
POI,stasiun ngadiluwih,stasiun ngadiluwih
POI,putra moro indah,putra moro indah
POI,prodia tower,prodia tower
POI,wm steak omah chrispy,wm steak omah chrispy
POI,waroeng steak resto and cafe,waroeng steak resto and cafe
POI,perumahan bayur sarana indah,perumahan bayur sarana indah
POI,mis nurul falah,mis nurul falah
POI,pasar sunan giri.lt,pasar sunan giri
POI,mitra bukalapak warung rakha,mitra bukalapak warung rakha
POI,mandiri mitra usaha,mandiri mitra usaha
POI,mitra tani,mitra tani
POI,universitas brawijaya,universitas brawijaya
POI,pusat oleh- oleh bakpia 750,pusat oleh- oleh bakpia 750
POI,billy barbershop,billy barbershop
POI,cimb niaga,cimb niaga
POI,kp cisasah bl,kp cisasah bl
POI,servis mobil,servis mobil
POI,kios ngadinah,kios ngadinah
POI,k2 cell,k2 cell
POI,paradise resort,paradise resort
POI,madrasah ibtidaiyah swasta,madrasah ibtidaiyah swasta
POI,alun-alun raha,alun-alun raha
POI,sanggar  de batavia,sanggar  de batavia
POI,ubud backpackers room,ubud backpackers room
POI,rusunawa pesakih,rusunawa pesakih
POI,tpu lanobake,tpu lanobake
POI,bintang mebel,bintang mebel
POI,pia,pia
POI,dr. wahi bakso dan mie ayam borneo,bakso dan mie ayam borneo
POI,sasak perot,sasak perot
POI,bakso dan mie ayam ariij,bakso dan mie ayam ariij
POI,perumahan wahana,perumahan wahana
POI,perumahan graha tya 2,perumahan graha tya 2
POI,pt asuransi jiwa seraya,pt asuransi jiwa seraya
POI,bubur sop ayam mang idit,bubur sop ayam mang idit
POI,kantor ulin nuha,kantor ulin nuha
POI,toko buku pagar alam,toko buku pagar alam
POI,terminal mojoagung,terminal mojoagung
POI,perum griya kencana,perum griya kencana
POI,nf fashionshop jogja,nf fashionshop jogja
POI,toko alvin,toko alvin
POI,sri ratu,sri ratu
POI,jaya imperial park,jaya imperial park
POI,toko batubara ii,toko batubara ii
POI,bells computer,bells computer
POI,semeru residence,semeru residence
POI,brawa subak sari,brawa
POI,deli surya jaya,deli surya jaya
POI,yayasan kalla,yayasan kalla
POI,atherry auto dan body care,atherry auto dan body care
POI,jembatan liong,jembatan liong
POI,gedung sport club,gedung sport club
POI,hj. ratmi,hj. ratmi
POI,rejeki aki,rejeki aki
POI,sumber harta,sumber harta
POI,zazil fashion,zazil fashion
POI,ma swasta fathurrobbaaniy cis megu,ma swasta fathurrobbaaniy
POI,toko baju alvin,toko baju alvin
POI,asrama mahasiswa ui,asrama mahasiswa ui
POI,a.j. central asia raya. pt,a.j. central asia raya. pt
POI,aan waroeng and caffe,aan waroeng and caffe
POI,cibis tower 9,cibis tower 9
POI,toko hasty,toko hasty
POI,toko warna sari,toko warna sari
POI,surya jaya motor,surya jaya motor
POI,kavling 96,pesona tirta
POI,jambu exchel,exchel
POI,innovation factory,innovation factory
POI,meubel dahan indah,meubel dahan indah
POI,green lovina residence,green lovina residence
POI,warung makan bu yenny,warung makan bu yenny
POI,jembatan gantung danawarih,jembatan gantung danawarih
POI,green bay,green bay
POI,kebab slamet,kebab slamet
POI,warna kuning,kampung mangga
POI,cv family auto,cv family auto
POI,denokan deno,denokan
POI,lubuk rukam,lubuk rukam
POI,perumahan jaya permai,perumahan jaya permai
POI,toko subur tani,toko subur tani
POI,ngargoyosao rabiyem,rabiyem
